#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="treeLikelihood" implementation="beast.evolution.likelihood.TreeLikelihood" spec="phylonco.beast.evolution.likelihood.TreeLikelihoodWithErrorFast" useAmbiguities="true" useTipLikelihoods="true">
#    <errorModel id="errorModel" spec="phylonco.beast.evolution.errormodel.BinaryErrorModel">
#        <parameter id="error.alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#        <parameter id="error.beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#        <datatype id="datatype" spec="beast.evolution.datatype.Binary"/>
#    </errorModel>
#    <tree id="tree" spec="beast.evolution.tree.Tree">
#        <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#            <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="4" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="11" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="12" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="13" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="14" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="16" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="17" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="20" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="22" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="23" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="25" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="26" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#        </taxonset>
#    </tree>
#    <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#        <substModel id="subsModel" spec="phylonco.beast.evolution.substitutionmodel.BinarySubstitutionModel">
#            <parameter id="subsModel.lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </substModel>
#    </siteModel>
#</input>
#
Sample	treeLikelihood	subsModel.lambda	error.alpha	error.beta	yule.birthrate	tree.height	tree.treeLength
0	-6056.027036450714	1.7168970621275863	0.03820200995480887	0.0026287727948973117	6.41313524394682	0.6332775558514455	6.2024864313893415
2000	-6063.364207914205	1.7216035765690816	0.051615054565219795	0.016278030069729877	5.7683627794153525	0.6230842195630487	6.048228778016439
4000	-6065.255216350009	1.7028262047863396	0.0508121872322501	0.026757202386589192	6.380322726669915	0.53900305902892	5.35549844181702
6000	-6066.739085762176	1.7745958047051302	0.04784863414376717	0.027872670808109807	6.187062622602446	0.5311338722873139	5.5548152330307685
8000	-6067.458396545803	1.527614416898606	0.04822027425260946	0.031166494304429745	5.851319397900438	0.5907856303007752	6.013511969415865
10000	-6063.601017773548	1.6772729508666964	0.04275966365768971	0.019483865271422707	6.65128729408782	0.6362667516649345	6.088418098755992
12000	-6063.007091563618	1.5466610744856042	0.05803620122840159	0.01360630481577943	5.685698859144513	0.620737171133947	6.181202145045771
14000	-6058.518934820542	1.631839977921211	0.034174487525589284	0.013722734828505428	6.533036135626845	0.6738139665983683	6.558670056302133
16000	-6064.23832746103	1.7562152309326	0.044165150883295874	0.0022841399160707606	7.232975105452721	0.6154714128339416	6.018239308672282
18000	-6064.614498428136	1.7914423161557922	0.049769155609625006	9.81305611312689E-4	4.914031242472899	0.6772512420657707	6.359438817192516
20000	-6062.301288185685	1.7261226021078568	0.04597215632007604	0.0070083182736461885	6.5802065804356715	0.533249012370674	6.068277280166497
22000	-6058.731137544082	1.7008169815421461	0.042369419099754384	0.005884023006985118	5.066865722274808	0.5507268587869559	6.510813614898855
24000	-6065.574253521361	1.6443704814735896	0.03263835701575975	0.0017601959863712178	5.687760814104196	0.5814336484003418	6.833432380532379
26000	-6055.130145862724	1.6423022317235025	0.04620625679658997	0.03224387010210956	6.676208368566584	0.5643410678980767	5.767776540270754
28000	-6063.063065657922	1.6778562641813313	0.04279628182329661	0.011447199422164482	5.984175990862956	0.7162443466980376	6.607641939162959
30000	-6058.32867652945	1.6561678482865207	0.029745399292919108	0.01169811602158267	5.402711438122612	0.627060588680295	6.465648630245831
32000	-6052.063415256163	1.7552944873976142	0.03380751261338332	0.006152355660551749	5.244995264476737	0.6151247847102663	6.693567047093624
34000	-6061.432203818418	1.7320646996154503	0.041164074417722164	0.0049269347030301384	5.753536907632593	0.6489406002253124	6.338151639038557
36000	-6068.935675730625	1.7897178379218828	0.041045370072818624	0.014100384707310168	5.344297505576722	0.6762412731855945	6.32145968921011
38000	-6066.19619592116	1.5856294976168206	0.028873283811935352	0.017058975903142377	5.66401388126284	0.7408514396664376	7.031052015032855
40000	-6076.79939684012	1.5313681851475462	0.021312121799391296	0.006332587034658966	4.684357414459438	0.6606811120239525	6.903463511887392
42000	-6054.058696629655	1.6521446273833107	0.037590797455714045	0.00782138950283926	5.391486894164043	0.6377757934456052	6.400977034690886
44000	-6051.502845091162	1.6395524030902349	0.039949647042698794	0.014916973256564743	6.111592876157728	0.677219208134782	6.57173504187659
46000	-6057.859093532682	1.7668141444128722	0.03734622516915698	0.009744317351645987	5.238136769236245	0.7101975406202885	6.785768101360035
48000	-6058.120387233423	1.6633461191862209	0.03792365710041841	0.011539908778227536	5.596550026971664	0.6457126054586855	6.478582566312503
