#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="treeLikelihood" implementation="beast.evolution.likelihood.TreeLikelihood" spec="phylonco.beast.evolution.likelihood.TreeLikelihoodWithErrorFast" useAmbiguities="true" useTipLikelihoods="true">
#    <errorModel id="errorModel" spec="phylonco.beast.evolution.errormodel.BinaryErrorModel">
#        <parameter id="error.alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#        <parameter id="error.beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#        <datatype id="datatype" spec="beast.evolution.datatype.Binary"/>
#    </errorModel>
#    <tree id="tree" spec="beast.evolution.tree.Tree">
#        <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#            <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="4" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="11" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="12" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="13" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="14" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="16" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="17" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="20" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="22" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="23" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="25" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="26" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#        </taxonset>
#    </tree>
#    <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#        <substModel id="subsModel" spec="phylonco.beast.evolution.substitutionmodel.BinarySubstitutionModel">
#            <parameter id="subsModel.lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </substModel>
#    </siteModel>
#</input>
#
Sample	treeLikelihood	subsModel.lambda	error.alpha	error.beta	yule.birthrate	tree.height	tree.treeLength
0	-3678.2696184220376	0.1032698385348708	0.006995145354018715	0.016107114710437704	6.21462387728419	0.37708417701585734	4.256905333106628
2000	-3666.238531711988	0.1172832055095047	0.0718716845122532	0.015489406924300618	8.21638995502679	0.5441964009780362	5.06432721116169
4000	-3675.597626490721	0.11903704228328428	0.05673354228085054	0.021619868509316943	6.1325304924182795	0.49817585114231455	4.349993176844522
6000	-3676.996076580923	0.10933182551529026	0.0603800056255317	0.018487823952199018	8.268332180941028	0.34176943813090943	4.1423329255638395
8000	-3675.09889883593	0.11462609214339013	0.010992980945124914	0.012729508813216685	7.799490018474159	0.38930142396381634	4.792222137537999
10000	-3682.701388900344	0.10246843958717293	0.005043594236797966	0.0202899690412043	6.516895787750722	0.3305776923798304	4.309963381221205
12000	-3668.9041830537	0.13370249820919383	0.03426537724669985	0.009692531569619222	7.567247025486368	0.4189499871524702	5.0688481761885225
14000	-3670.9450132002457	0.12478779649888211	0.01122804171060512	0.005752446273115099	7.375457963218017	0.4761244053291312	5.4406642547910495
16000	-3674.059369462828	0.13978270010607557	0.018832472008084394	0.00435224072977466	5.10040952648743	0.4492208666446511	5.783838332193547
18000	-3669.34267012503	0.13023668550232337	0.06945482336302232	0.013372630340540844	7.226665195154677	0.398187815054323	4.856759837709284
20000	-3671.39430472302	0.12202963237453704	0.021635286568105476	0.007784347277132386	5.877160601038571	0.5635667182620483	5.15284931286774
22000	-3665.423024743709	0.1278062609420072	0.0053888664918096945	0.00547890705182919	6.329978401885512	0.46765515960368037	5.026551979439635
24000	-3672.614094005254	0.1414053522609374	0.07849634976986032	0.01390346169970134	6.77851431645912	0.40908553111182977	4.880825970416933
26000	-3680.221136284996	0.11882627577923591	0.02588158624305302	0.012404790076709221	7.542905599707989	0.4023364769362657	4.7290365693019965
28000	-3670.432627383769	0.12479010549063231	0.010558674902024405	0.011430149494684943	5.754781947944342	0.45612624178057176	4.711359949653124
30000	-3669.2360433371578	0.11566697186095434	0.02594234167394167	0.009636530487883734	6.0925888997458815	0.43932226653009027	5.013544411391553
32000	-3680.98551979769	0.13215557889001875	0.03820242320808153	0.008769267280140706	6.951192720834755	0.3996424213647277	5.077060513690592
34000	-3666.254827702814	0.1255739096945366	0.05837364222322985	0.01542046645883615	6.329906156685939	0.43298109146797126	4.8923983816401995
36000	-3668.0841190753868	0.12348406533254287	0.036042824787724914	0.016616748950781003	5.6585537309047345	0.39299063424154246	4.539932983418977
38000	-3668.2933269194564	0.1260615990536553	0.024842964618218482	0.005577194346693299	6.11027522953081	0.46406658903489706	5.379597707991787
40000	-3671.8317901731043	0.11665179697247485	0.0017513453156358099	0.009875043236990292	6.23364691568777	0.5410273061784828	5.042772141826615
42000	-3669.423385550484	0.1257485043762276	0.021110191084399252	0.007197982949554091	5.707842117674699	0.4845375753372314	5.610628268377248
44000	-3676.477789788646	0.14038314223082565	0.02722445435437266	0.004470840194034526	5.316877851028999	0.4642560064420917	5.349998761363003
46000	-3672.0762220743627	0.11232484326122742	0.0031358009126064754	0.012110379244998857	6.472587697949185	0.5312805745217011	5.118400445810501
48000	-3670.2155086501803	0.11976483711974521	0.02374601011097126	0.010602413792213973	7.161527061135885	0.6056965804793086	5.6010788769051985
50000	-3668.7528081918103	0.13065599440635733	0.0667112590562407	0.014054455392895857	5.991551244666867	0.4683700316558727	4.821532349789186
52000	-3677.0222731609224	0.12153253832771621	0.01638247431808585	0.009497972434328459	6.975542466415226	0.5081765447414356	4.934645871721465
