#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="treeLikelihood" implementation="beast.evolution.likelihood.TreeLikelihood" spec="phylonco.beast.evolution.likelihood.TreeLikelihoodWithErrorFast" useAmbiguities="true" useTipLikelihoods="true">
#    <errorModel id="errorModel" spec="phylonco.beast.evolution.errormodel.BinaryErrorModel">
#        <parameter id="error.alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#        <parameter id="error.beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="1.0">0.1</parameter>
#        <datatype id="datatype" spec="beast.evolution.datatype.Binary"/>
#    </errorModel>
#    <tree id="tree" spec="beast.evolution.tree.Tree">
#        <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#            <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="4" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="11" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="12" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="13" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="14" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="16" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="17" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="20" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="22" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="23" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="25" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="26" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#        </taxonset>
#    </tree>
#    <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#        <substModel id="subsModel" spec="phylonco.beast.evolution.substitutionmodel.BinarySubstitutionModel">
#            <parameter id="subsModel.lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </substModel>
#    </siteModel>
#</input>
#
Sample	treeLikelihood	subsModel.lambda	error.alpha	error.beta	yule.birthrate	tree.height	tree.treeLength
0	-3998.9719615958834	0.10476219337975941	0.0024783270693411958	0.037462641135402916	6.299240655590708	0.3660595285178292	3.6387811336208893
2000	-3995.859238541423	0.11997689293754328	0.026818307352654763	0.03625992286768806	8.054351436082637	0.42227447126307505	4.064420477067717
4000	-4000.932181140194	0.09623644141259097	0.013953340159086476	0.040378390305999365	7.4133016069152555	0.37312400349730845	3.6769757400348784
6000	-3992.388702349037	0.1119062369158462	0.04570384795864536	0.036801733635069354	8.210491144431378	0.4449162923117129	3.8531972414227016
8000	-4000.229206692117	0.12108330498813318	0.005682127288841271	0.03871712614509024	7.894609824682546	0.4322840361989641	4.0060177687284835
10000	-4000.9990997744294	0.11047303947473305	0.0013678364746041096	0.03834054112930307	6.45915748983054	0.4386510462313913	3.952532957550924
12000	-4001.0272032576613	0.10948995633952482	0.008890253181165222	0.03994848441578952	6.880818570769544	0.4827183425198008	4.161028590912159
14000	-3994.99275091644	0.11410968200300999	0.03180438548514957	0.03609348848365444	8.761944682735205	0.48015300352622275	3.8607793893212436
16000	-3993.4648681874355	0.1033489402881298	0.012713023813209453	0.036327912724457734	5.980301080461369	0.4384881117758524	3.8641402834584
18000	-3995.04072487112	0.09164860608636512	0.002798703731077924	0.042894949788435346	7.232595901241247	0.5239446449813092	3.6686608932492444
20000	-4007.5113416328	0.10157440749833646	0.02992325799130986	0.035942672004113364	7.246775215469689	0.5203875974893696	4.1465426149475055
22000	-4004.715191264773	0.09536368184054232	0.04739690906146423	0.04301254079554147	7.394646401132055	0.4248242096460143	3.3195716780653397
24000	-4005.9761612586954	0.10406933739449538	0.05830546596656096	0.045355955012404095	10.065569986714282	0.3950809805282779	3.391952996397553
26000	-4003.5246322488397	0.1107649223017411	0.034739782513221504	0.038012987823036234	7.916366517835376	0.3164409829527426	3.582814292435644
28000	-4002.1684319933643	0.10351478491534649	0.00958489833074689	0.03935170803842816	7.225852526908418	0.35201883778374693	3.5407682468600234
30000	-4000.917856661955	0.12032318705215066	0.020188175027736056	0.029533658442004878	7.4195768167740646	0.4707494987781051	4.522125646312357
32000	-4002.031195220439	0.09323933643183174	0.02155749708494495	0.041070358467395075	7.803789807332014	0.40291992998069065	3.6964775262742493
34000	-3998.018673947232	0.09252514382054992	0.04139226537246509	0.04583080492820292	7.625840055555595	0.3601249020098571	3.2809451931085456
36000	-3999.116671525912	0.09370059508045218	0.011203979198234898	0.041129262747859455	7.398323607837555	0.33209022403054733	3.513829547531408
38000	-3992.3233613759844	0.11249290934741205	0.013213917554811902	0.03545371791021118	7.211292031121598	0.46929956921382193	4.026121910630168
40000	-3998.9792709253516	0.1125349076617584	0.00349986909754301	0.03587040198965557	6.2743581447928305	0.48600827521889023	4.027213570255931
42000	-3993.919448730917	0.10090524357903898	0.010260768725310128	0.03914407674502833	7.5790944141088135	0.38002947868142795	3.4844977852824286
44000	-3996.2451572185455	0.10919750394077128	0.01700197108622947	0.04181258119802344	6.892134604978147	0.3776136316783405	3.476196190464885
46000	-4002.5397036975723	0.08782880767868816	0.018266929185534235	0.05055325106028204	7.247729129987115	0.3429598661363555	3.2318071392725174
48000	-3997.4052217957897	0.11021501370014986	0.04861263087668762	0.04219330882128124	7.305665839093242	0.4125031902942626	3.8543616938598273
50000	-4007.7910588139084	0.10435301644691965	0.0020043100580136404	0.03983919645542345	6.027634291091846	0.32466355963304905	3.6301154878468394
52000	-3990.770093857914	0.10323016111407245	0.02359806914876361	0.03979990860557968	6.247841053009579	0.39696079767751175	3.5762489079408546
54000	-3997.2820688855636	0.09975591837629323	0.01487851833298939	0.04094899834623307	6.744563627311947	0.5288423931237485	3.718244379968412
56000	-3994.848019269175	0.10308195710037986	0.006820786936029751	0.04245772075421585	6.243792150465408	0.5239781687800452	3.702478871603562
58000	-3995.1877575603708	0.1179650718584939	0.025384239547889015	0.033781814494777865	7.582569025189193	0.5911678553374967	4.288908340850113
60000	-3999.010704404774	0.1112999783327297	0.02665334074938103	0.040665173734271344	8.33633259557818	0.513667896796496	3.927979046356798
62000	-3994.577447536699	0.10929976096438106	0.0076114194816774795	0.04128769041117417	7.416264674364198	0.3851451278104417	3.552213331660774
64000	-3999.5825203069467	0.1104562820154878	0.039742230011845646	0.041014921240329225	9.83261129611938	0.5631056599346225	3.9774519198041287
66000	-3995.7087186991694	0.11054883310421972	0.01538652592184156	0.03776535262161998	6.735927669890227	0.35991677101047775	3.589660498669985
68000	-3997.03183550074	0.11310493348444785	0.05814537092600338	0.04666491104408629	6.278863432422547	0.3727448332425334	3.337072248269883
70000	-3995.6018869781633	0.1073664806189169	0.03691546122859466	0.03965679626504002	8.107351281561144	0.4778720778264495	3.735217869437758
72000	-3997.6724959177363	0.10272063398746682	0.016591634592113838	0.04229700601551964	8.471352665377509	0.49057523867057184	3.834241121562111
74000	-4006.451915115631	0.11239596862328191	0.030339037466563145	0.039762971546352	6.783992289795933	0.4251475844923986	3.7215514332313426
76000	-4000.5157707963726	0.10017289678850602	0.026617248244013115	0.047796085260328545	7.2330201992534136	0.37613650016003736	3.329193244367575
78000	-3990.6808775523245	0.10030006066274919	0.02076131728910953	0.0406496227483498	7.413362337053453	0.525645818551904	3.8186033783707978
80000	-3996.009831103506	0.12093672326063118	0.015531022693039763	0.0337251837474616	6.621560313155246	0.5746438409317528	4.572174710193438
82000	-4002.056327778895	0.11907895433586396	0.03721078996212887	0.03813890227588602	7.771215961522395	0.4380082163073714	3.9622195915876066
84000	-4002.400490218632	0.08670677249863645	0.0024337465803379987	0.04450262270799621	7.155684580301315	0.36076902954917744	3.038730444437852
86000	-3999.7210969817174	0.09377554800955074	0.0057657335495846455	0.04784063391481118	8.195461284243839	0.47056816355718906	3.534991382815201
88000	-3998.797928530499	0.11440313687118449	0.04945794951086982	0.04678828882841227	7.220081220999151	0.36233787283974106	3.2527167331284184
90000	-3999.2282613073885	0.12139131921012972	0.016146712787393106	0.033093336294694325	5.56805618875685	0.52342186873203	4.513698712081271
92000	-3998.250998925342	0.11444981655931408	0.006801200779492991	0.032980267005275454	6.332219409668394	0.4761993070226463	3.962570096903746
94000	-3999.0667290398196	0.1151724605435142	0.035831608607840605	0.03445144805968809	6.640204785208429	0.37681019548204236	3.832943263964682
96000	-3993.424693185121	0.10642788529566838	1.3830222048333946E-4	0.03583681685924646	5.550572860061222	0.46748865706237863	4.060643082542812
98000	-4001.554903650613	0.1166810771621212	0.05573387691938838	0.036691342968623294	6.956701676879555	0.43597232941652875	3.533563326311626
100000	-4010.711791991384	0.11519757583652328	0.005509220693557618	0.04710636390472055	8.499558322467005	0.6301447729067703	3.9416890638978113
102000	-3999.823308419646	0.11561102200808397	0.03943861913272664	0.039851653082604646	7.32526182863875	0.37425147847779056	3.677426191442318
104000	-4002.2215425866475	0.10880861630084698	0.004569451972898837	0.03960832327983428	6.779017384698153	0.37035860991957026	3.755639008054408
106000	-4002.4077785627187	0.11638153698707923	0.006806500666789707	0.038987835507831775	7.94624945682112	0.36207652053285966	3.6170733069797776
