Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	psi.height	psi.treeLength	E.treeLikelihood
0	-4108.870034452351	-4112.985937282941	4.115902830589839	0.06013048572380396	0.05387751570665641	0.03410691195834568	0.11045076577155255	0.06924180613546879	0.046008058611336694	0.033261831951624556	0.012158977103839558	0.018970902081137168	0.007793599529156304	0.17721265336586622	0.07097062872560224	0.060217238045317145	0.07997988379544316	0.03146237967889943	0.1341563618159501	0.12062366900137443	0.3507640591814071	0.21883832621404892	0.13929407623872955	0.08330798017472342	0.08717188918971658	1.4599229613039104	1.140306542617362	6.044851447907757	-4112.985937282941
2000	-4010.190538988677	-4017.4703266790616	7.27978769038452	0.06557244123695433	0.035950869702408496	0.022875497914739196	0.06944010520715452	0.05259874516487567	0.10489915399467348	0.04426334889730039	0.018949570851259673	0.021297173301375504	0.02439232905359188	0.15613556410666946	0.06355972927256731	0.05586581097472433	0.057559702498789986	0.024876561753457933	0.18176339606945774	0.1505065300561658	0.2624959190598865	0.22513174336976008	0.11780725213823023	0.1221388849720221	0.12191967040393521	1.407767035080624	1.0311016422487493	5.654599302992121	-4017.4703266790616
4000	-4008.210970194426	-4012.7619998157643	4.5510296213385395	0.07160330121334396	0.026642293119566347	0.02563395758510461	0.06944010520715452	0.04903598180514468	0.12616645843153504	0.04911636387348996	0.01565906392913187	0.015944379434416504	0.019138008307287787	0.1686308835507562	0.07036240169046165	0.049217868268454	0.04518080355757962	0.026897602682639757	0.17133052734393334	0.15531580022890898	0.2632755533981485	0.23163259587744062	0.10272846528275031	0.13091250108732821	0.11613508412542327	1.9368059612660713	0.8794093975237439	5.384054837179552	-4012.7619998157643
6000	-4019.466262697711	-4024.5978128844567	5.131550186745635	0.06138682501721881	0.03323985929769202	0.026480567605512005	0.08416673747948655	0.04242610672250691	0.09976722567239465	0.05385523643239981	0.00915974898263719	0.02466086559782875	0.022878334669676207	0.19040625007569423	0.05806544398648994	0.04381492454017575	0.04086820977110976	0.03765905768871372	0.17116460646046355	0.18090507924656038	0.2786851176211386	0.18711468351037702	0.09820445847470646	0.12472544326214258	0.13036521788507474	2.0876266522603313	0.9545505546907034	5.340700877013682	-4024.5978128844567
8000	-4016.1419386291036	-4020.925925643656	4.783987014551958	0.06386993777369701	0.035427790713529375	0.026480567605512005	0.07678066991753121	0.04016775002136363	0.11466317632662881	0.04486709523824647	0.017348848440598953	0.021275052218750576	0.025725574848061625	0.16750382166830333	0.06116067449271984	0.06359685432737593	0.043869297176357576	0.03942535284899262	0.1578375363823309	0.13544320124979528	0.2802853460533968	0.22550836611143862	0.11055735210553799	0.12042736561311379	0.12777836886671737	2.434110081938467	1.0232662451665595	5.748648442711957	-4020.925925643656
10000	-4021.4309822586265	-4028.4771185749046	7.046136316278304	0.07085741288294209	0.020903356903599624	0.02250346106580891	0.06607708482314917	0.0434774730266856	0.11586057905525703	0.05637842798934352	0.017348848440598953	0.014945976807549416	0.03426899577735379	0.1735724622350147	0.06511026446023255	0.05464891996501549	0.04651143880881459	0.03490577503356132	0.1626295227250731	0.13745756739300602	0.27817811881165044	0.25666019433497556	0.07626771084980657	0.13215771044223745	0.11927869816832377	1.828760675059155	1.0443298401788974	5.568272718778417	-4028.4771185749046
12000	-4002.607871753604	-4011.37165878616	8.763787032556323	0.0628250468124178	0.028316721644455214	0.026427026899932086	0.0676533398631925	0.04668717934922394	0.10670692750120395	0.053801931127405445	0.021513135008242958	0.01977462818714762	0.026644637038175857	0.17282050772528515	0.06021227077453767	0.05173170625090031	0.046324765276564164	0.03528888557273492	0.17327129096858024	0.14264822589469842	0.27763267384145496	0.21394801416649759	0.09174263224234301	0.14690636753646585	0.12712208631853997	1.4169112098134349	1.0127172346844902	5.417038887106831	-4011.37165878616
14000	-4014.027327527331	-4020.5568130091947	6.529485481863446	0.0693447161352882	0.031493584448899395	0.0273606582975906	0.06834538926887843	0.033090121441479346	0.10194959652891367	0.05534435768541023	0.02130572209111547	0.015074812492171442	0.027953956893158577	0.17421530645412814	0.05203133607308278	0.04850496338807209	0.05434084593905196	0.026366063974575506	0.19327856888818395	0.13830014745364255	0.30769594111118476	0.19271773815163615	0.10917696701533872	0.12847105769079667	0.12363814857740099	1.7682777689038485	0.9474900456458041	5.3536786990570695	-4020.5568130091947
16000	-4013.3662161781594	-4019.3611139411764	5.994897763016894	0.0691104918206801	0.015622148287255971	0.02192185176387248	0.07029769952662246	0.037344902155161085	0.10867384252753573	0.032373912241767354	0.021957877089180518	0.024436147892318023	0.019628102514512226	0.17763857273872213	0.06441777402930049	0.0625159046063465	0.04329603786552092	0.029237721981472634	0.2015270129597312	0.13307214628362596	0.3235151060158878	0.2089176129106725	0.10917696701533872	0.12847105769079667	0.09684711008367816	1.243305127411025	1.10107488531873	5.643654251659722	-4019.3611139411764
18000	-4013.0424926934693	-4017.2056303415134	4.163137648043872	0.055449079067089256	0.02185653137358934	0.03300687137866279	0.0809636699724385	0.048334763897537554	0.10357348418206713	0.054540479347315915	0.01887441960514155	0.021777908783525507	0.019628102514512226	0.2006131211404879	0.05823118691941328	0.05583575072515669	0.0390925458779886	0.029237721981472634	0.15898436323360096	0.1595642492216034	0.27253615196988684	0.2487282138822587	0.09338791940055217	0.12847105769079667	0.097312407834902	2.1608824779825326	1.017082747029633	5.8294618845934245	-4017.2056303415134
