Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	psi.height	psi.treeLength	E.treeLikelihood
0	-5455.421501697796	-5289.7357552130625	-165.68574648473373	0.1054947307449533	0.05939855342515295	0.05988958976760888	0.013993720287383694	0.033333047107289696	0.12559446973943683	0.10494954398850397	0.024930564067159107	0.018813744286748618	0.05816672405768696	0.09760813046059238	0.020216690961753013	0.054780259263879506	0.049760803855255366	0.07596605991001759	0.0971033680765781	0.1535810979067775	0.16247712631764688	0.20110745022258447	0.1906749297546534	0.06456568056837084	0.22759371522996705	0.21900196727025842	0.5877076436461529	7.142947135466647	-5289.7357552130625
2000	-4939.419409038523	-4929.7878774578585	-9.631531580663875	0.16835719415673017	0.015165042157349158	0.04129127232876844	0.03314798225202651	0.011338764363862296	0.17535934605617937	0.03083755059624735	0.02416864262491423	0.010012651926676053	0.04743717726592885	0.16136678740025023	0.024169097046642114	0.04153625882044107	0.023250862916679355	0.028354702194672433	0.16420666789263239	0.18405531515635773	0.12714840837863478	0.17403910317607002	0.17065276534049706	0.13048205517023362	0.21362235277820688	2.9127279240920885	0.4381987310628265	5.796740797388004	-4929.7878774578585
4000	-4917.180485191994	-4909.066799441131	-8.113685750863183	0.14781255524464432	0.03371911193629816	0.03100204801020861	0.024997587669755884	0.01827786213480489	0.18331454092527638	0.03188306766248747	0.03819902261230679	0.010012651926676053	0.040779399729361565	0.15999181760282805	0.01972272592448606	0.02331906952108266	0.024889041166715226	0.030119835922945953	0.18195966201012193	0.16287823390163236	0.16485843312563309	0.1678713685961265	0.15336609150281968	0.14515828391727845	0.20586758895650997	2.452161556715226	0.4679934478266129	6.005533073442462	-4909.066799441131
6000	-4921.065400733442	-4914.693080297189	-6.372320436253485	0.14709334087445433	0.031338732210817406	0.02740073563596343	0.027124938188716613	0.011001579739855077	0.179293611967978	0.030079175973820052	0.029976115906448768	0.017855647814555065	0.041606944221837916	0.15757141214442894	0.031564845705957495	0.029370568255450383	0.029477305160729196	0.03281160206615699	0.1764334441328303	0.1610834807485319	0.15792157957229133	0.1754187893516894	0.15336609150281968	0.14978899923041247	0.20242105959425527	2.247384817078291	0.44744772374187397	5.785991210933256	-4914.693080297189
8000	-4912.598907564234	-4904.165086429196	-8.433821135037597	0.14113635044680428	0.03131890797447892	0.02740073563596343	0.03203289205526688	0.011001579739855077	0.179293611967978	0.037261984513011354	0.0412530876463377	0.013954351531932842	0.043529576534211294	0.15632197829589664	0.027219353038920924	0.0236826300057678	0.029477305160729196	0.0322341564232712	0.17288149902957442	0.1451902427289686	0.1657137741697498	0.17175655902893358	0.1650515094359136	0.15881077082379477	0.1934771438126397	2.4951948318848873	0.49509780835126166	6.411912498528686	-4904.165086429196
10000	-4922.39189160173	-4913.058711549997	-9.333180051733368	0.14146980387677732	0.03278394952812867	0.026078835087540393	0.027576419957218157	0.01238063661663414	0.179293611967978	0.03423934053786552	0.040919634216364645	0.01636691598910478	0.03997019637592186	0.163234892804896	0.03212556758236478	0.02546992284174529	0.024769709811036343	0.03222635661282715	0.17109420619359694	0.14409816520620405	0.18030825124274796	0.19989585051379868	0.15562546153650164	0.1370572714244341	0.1830150000763136	4.047662367830073	0.45993317270151507	5.7942383500312316	-4913.058711549997
12000	-4910.681186222002	-4903.634645369856	-7.0465408521454975	0.1551830077248005	0.02541339229379589	0.028405997453876154	0.02776831790962015	0.013904915695855467	0.1845010967943503	0.03423934053786552	0.03571214938999232	0.01636691598910478	0.040097746477385614	0.15717544722742596	0.023008297600640715	0.02540216678855787	0.024769709811036343	0.03222635661282715	0.17582514169286528	0.17180798147981524	0.1488337349175575	0.17515945974773092	0.14770359002389863	0.17031123824284075	0.18618399558815701	2.8598278048971904	0.4180739328821029	5.542879933200187	-4903.634645369856
14000	-4911.776535741273	-4903.220404677952	-8.556131063321018	0.15434166481296244	0.028655289011842694	0.02964893651634415	0.024954943158997468	0.015706121147557588	0.18392700715851945	0.03447077000543411	0.03651885457504419	0.011459687377001114	0.046650642322982994	0.162246630705586	0.019756685644438873	0.02563977066562633	0.028541310808155064	0.03222635661282715	0.16525532947668042	0.1460941317095962	0.14859918976298775	0.16680396008480822	0.14661169466145432	0.15769284043095902	0.23419818335019454	2.9181553473542223	0.4659028979265525	6.013787209716867	-4903.220404677952
16000	-4921.986854988141	-4914.704208140899	-7.282646847242063	0.15216171347518959	0.029423245889957733	0.03419346024128686	0.03183934900194185	0.015706121147557588	0.174813671255568	0.033799509663684994	0.03651885457504419	0.013167630721789461	0.03270122831050286	0.14255509918554327	0.022212692418638602	0.03435994940742023	0.02308665407429919	0.039802028343794316	0.18365879228778137	0.1373014658189591	0.15672501605336833	0.15447464748401957	0.17463881569999254	0.17422495905400157	0.20263509588965894	2.407996930540074	0.4703687059524064	6.175910922556695	-4914.704208140899
18000	-4928.326311082933	-4922.039455784217	-6.286855298716002	0.1548720348481221	0.029263444956424203	0.027124827172476586	0.03846409678423576	0.011016505716998803	0.1678831932527015	0.030837170265753264	0.04373575075889834	0.01271976022570194	0.03270122831050286	0.15662911293734497	0.021463558757498495	0.03858393281645675	0.02396514498503638	0.03142503898195254	0.1793151992298956	0.14525689486768295	0.16602657964964285	0.16397635267283478	0.17076633119061221	0.15748087559082666	0.1964929660284006	1.8770549783053558	0.4797773096310871	5.733997024228143	-4922.039455784217
