Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	psi.height	psi.treeLength	E.treeLikelihood
0	-6242.025387268572	-5856.7274120070315	-385.29797526154056	0.05877391949736617	0.09638662635703406	0.00703393783934058	0.026890526964850156	0.03774728021296839	0.10890877763394365	0.012079853049333015	0.0702917132598793	0.026760756766119505	0.03282213204039822	0.09160303509804293	0.1935489400372371	0.14112597713945116	0.037808069445050996	0.008276597749663467	0.0499418569093213	0.033557177800507244	0.4592023967132926	0.0615130682916869	0.020908302728132336	0.3469973894570918	0.07782166500928914	0.05533041903470126	0.38289499812528516	4.170378580031616	-5856.7274120070315
2000	-4333.708188554396	-4320.5763387449	-13.131849809495934	0.22534958821207737	0.029102166343431345	0.025472499839951757	0.008581781260272016	0.028249996913107138	0.14669523320129896	0.00988173431797697	0.016652057107997463	0.015089447827048838	0.034894990841521235	0.17773435509397137	0.03726661200698398	0.051562251282349286	0.015623947746995097	0.011246539896467234	0.16659679810854994	0.20096051944248255	0.16379431599851332	0.13287003393438482	0.1602926375963093	0.21062017089125434	0.13146232213705566	1.1880663167528653	0.4127861930733136	5.408698608394973	-4320.5763387449
4000	-4215.964320091388	-4205.012471548751	-10.951848542636538	0.2128931924539879	0.02211108930130052	0.014535004309748238	0.011542698801709494	0.019195339192115655	0.18646203022892055	0.007267382657969477	0.012028695665948164	0.0154639757989454	0.021773840724110087	0.15823587188878846	0.026768805988598925	0.03492498017811722	0.01595620686980756	0.02510956268074413	0.21573132325918823	0.15546959014393552	0.1634347071143654	0.15779796663704931	0.16922253074291146	0.18066594633089667	0.17340925903084164	1.7341147105117687	0.3481597027189795	4.586570032369218	-4205.012471548751
6000	-4203.755948308007	-4191.608756873207	-12.147191434799154	0.1756197495810554	0.015026201036070191	0.01142686783379631	0.011482301464360238	0.016303424775164846	0.2343116500493894	0.019152763811500915	0.01715141937288752	0.016429322286835905	0.015615537384216109	0.174175622558722	0.028525919281431444	0.03395963369022671	0.012945982083323586	0.013224181527212692	0.20464942326380683	0.17212423743668498	0.18061429220090455	0.19534135365236904	0.1317029602077221	0.13979427488399832	0.180422881618321	1.3457512163732674	0.35639436597200774	4.524321728655181	-4191.608756873207
8000	-4213.2573891495895	-4199.40246886069	-13.854920288899397	0.1863484416328597	0.023522401274928544	0.01142686783379631	0.00976792343794769	0.014045068074021567	0.22920861495706774	0.010235060283058758	0.011745400196495427	0.017066235783429612	0.015615537384216109	0.18551993089344546	0.02699503580891814	0.030874947124156775	0.01602892374487013	0.012571710582388457	0.19902790098839968	0.1627635045546069	0.18914052775368387	0.19534135365236904	0.1226811886143398	0.16521932642211798	0.16485409900288242	1.1268939172934398	0.3209883001555097	4.354380107206783	-4199.40246886069
10000	-4196.094642517209	-4181.497087810067	-14.597554707142178	0.17219624742821493	0.018865523601305167	0.010972903582257665	0.010463026494408272	0.012872557506145896	0.24908265597771517	0.010235060283058758	0.011745400196495427	0.017264617608898317	0.011282080104455416	0.1842574127203388	0.022623692580035687	0.022691875886605803	0.014412166313875999	0.011845316615601328	0.21918946310058748	0.18093082732670682	0.21487887612561793	0.1695908575204953	0.1459280608549479	0.13337187922420798	0.15529949894802408	2.2903198284095887	0.3069504083478305	3.987419547836897	-4181.497087810067
12000	-4193.207295759743	-4180.194062566056	-13.013233193686958	0.17090490788609747	0.021462796178781635	0.010746572702808002	0.010019407943112991	0.013233776797664014	0.24066270074180854	0.00872328544680723	0.01590968676413943	0.017264617608898317	0.01489319050510117	0.1842574127203388	0.02441417476294748	0.02444992579949068	0.015923941150127525	0.013120249421639495	0.21401335357023732	0.17939216284720733	0.20217866625656747	0.15553800563362963	0.145937105737009	0.1386755288215588	0.17827853070402777	2.1036310722748626	0.2880344943844848	4.034081804946423	-4180.194062566056
14000	-4201.699580522047	-4190.453313863588	-11.246266658458506	0.2051894260501403	0.011730397376970597	0.013515255852308068	0.011154107735902148	0.013233776797664014	0.21401725386684944	0.008958055826178177	0.01590968676413943	0.017264617608898317	0.01489319050510117	0.15831524174920591	0.022133220044136502	0.02597704718335185	0.015923941150127525	0.013120249421639495	0.23866453206738714	0.17767596608546632	0.18772995994117048	0.1524774090190899	0.17836337707181124	0.13612528080832478	0.16762800707413728	1.5149990016896058	0.2720405533736261	3.763115149659006	-4190.453313863588
16000	-4194.27882053259	-4181.737400452488	-12.541420080101178	0.20548714161441958	0.017550379835598408	0.010502446750626532	0.012210496958626811	0.014855691727067744	0.21669330848824564	0.009390599597120516	0.01080152185793102	0.018972560953686664	0.010774304376590667	0.16724548477189036	0.022133220044136502	0.028063300438435662	0.01262078948336344	0.015288685578756296	0.22741006752350423	0.16654509322741	0.18730498230962353	0.15538933708912336	0.1638306319123161	0.16249891654229742	0.16443103891922958	1.8087151504730878	0.3108894421761285	3.965956021349095	-4181.737400452488
18000	-4190.53311774048	-4178.948495384362	-11.584622356117857	0.16891229076258824	0.017887931547563157	0.018273514255572047	0.009547732672008959	0.014214389937565151	0.2244388983240388	0.011239900619910318	0.013896633133691834	0.010448772568028966	0.010774304376590667	0.16973974008983703	0.021076008805690903	0.028063300438435662	0.01349928039410063	0.014267651265323235	0.2537196508090545	0.16654509322741	0.208991422894571	0.17199879233482118	0.15444555098635887	0.1458894612965996	0.15212967926023932	1.5025976293409875	0.26260568884298047	3.7509424055171157	-4178.948495384362
