#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="treeLikelihood" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" useAmbiguities="true">
#    <tree id="tree" spec="beast.evolution.tree.Tree">
#        <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#            <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="4" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="11" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="12" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="13" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="14" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="16" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="17" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="20" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="22" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="23" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="25" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="26" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#        </taxonset>
#    </tree>
#    <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#        <substModel id="subsModel" spec="phylonco.beast.evolution.substitutionmodel.BinarySubstitutionModel">
#            <parameter id="subsModel.lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </substModel>
#    </siteModel>
#</input>
#
Sample	treeLikelihood	subsModel.lambda	yule.birthrate	tree.height	tree.treeLength
0	-2489.553111797847	0.0581808405998621	7.35223790250995	0.27458625372485185	4.418286222633106
2000	-2486.2894371033103	0.0632518387686262	7.14881865648586	0.4158642538468691	4.51112491582555
4000	-2488.781746233304	0.06413330237878788	6.125993950132075	0.4776358356317094	5.296349939099216
6000	-2480.462028668888	0.06522949079920508	6.129718114572391	0.44065198467675315	4.650521742369181
8000	-2476.3441294156464	0.06441112553306184	5.563865232314231	0.850883964340759	5.716767058022855
10000	-2479.598033600945	0.056106757044641284	6.681522574714907	0.4886262007967823	4.6148373079757965
12000	-2478.6310277595408	0.0673735336617317	5.960291182330358	0.8649878888155504	6.078892848602687
14000	-2486.6307751514164	0.05800483759053134	6.420365183842389	0.3566918118990951	4.5367525505118556
16000	-2476.1727587124765	0.06537114719667086	6.773432944912774	0.5450007564585311	5.325399145425001
18000	-2487.3191987205983	0.07236026513346104	6.403855329598332	0.39288202745897416	4.8547871117433035
20000	-2488.1004819798754	0.056551544852416646	6.850938168019612	0.31771193100128986	4.478421181292855
22000	-2477.0118216271653	0.06329347767829142	6.204048499794557	0.33233792486754093	4.17414765082482
24000	-2480.279173417001	0.06242824162569026	4.258741217827253	0.46406109603866247	4.637605040985348
26000	-2477.479015807129	0.06733024522083454	6.146142489366806	0.49243189707137136	4.862423398014786
28000	-2490.6711003014148	0.06791809002104118	7.875302568343666	0.42649000659005304	4.666641162732169
30000	-2478.3642139769618	0.06325859066027124	6.920828513147496	0.4092590696992964	4.756355319434767
32000	-2476.8950338479153	0.06333257474916858	6.478057900800698	0.4468113093333767	4.662787222196343
34000	-2474.767906175674	0.0636543839565088	5.546565662106363	0.5678695113251316	5.631414975875912
36000	-2480.5808088841545	0.06413465456040097	6.923307052455751	0.4156931385533888	4.985597004046502
38000	-2489.938553751906	0.06437433004829955	5.0446878946900675	0.40917353803637946	5.568473342114931
40000	-2476.6629442514086	0.06433989543657014	6.0620755138983045	0.3868244563942997	4.917154342609575
42000	-2487.34555613409	0.06558457118617853	6.502896786413889	0.3897697799679509	4.639551981331093
44000	-2494.231053479739	0.062371640821252884	5.847358464749923	0.5357880052922936	5.201689166442464
46000	-2484.8987531403664	0.0657254526077041	7.0828602385121435	0.4405166109252106	5.052486870183611
48000	-2487.2779108670234	0.06026524605062159	7.166532177114637	0.32197185205220796	4.309509590344764
50000	-2478.8876977220343	0.06209203126602393	8.212717050606754	0.3359548693766824	4.736028564466749
52000	-2481.9447553915584	0.06057548034285752	6.454347139601858	0.23701006399257307	3.529014733156161
54000	-2491.0612268355494	0.064420146858054	6.174187202840805	0.47491279548436677	5.27644893347994
