#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="treeLikelihood" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" useAmbiguities="true">
#    <tree id="tree" spec="beast.evolution.tree.Tree">
#        <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#            <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="4" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="11" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="12" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="13" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="14" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="16" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="17" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="20" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="22" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="23" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="25" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="26" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#        </taxonset>
#    </tree>
#    <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#        <substModel id="subsModel" spec="phylonco.beast.evolution.substitutionmodel.BinarySubstitutionModel">
#            <parameter id="subsModel.lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </substModel>
#    </siteModel>
#</input>
#
Sample	treeLikelihood	subsModel.lambda	yule.birthrate	tree.height	tree.treeLength
0	-5040.918373171342	1.0445995020106402	7.226868889609177	0.312782384205827	4.402053698647317
2000	-5046.035633747228	1.0935348960126323	6.922388883310121	0.3187631754404656	4.551300593995372
4000	-5045.598534312079	1.1254665010913625	6.910764152037576	0.30666363711331146	4.329627239962833
6000	-5045.539447800574	1.1029709086056176	6.485150687652569	0.32289182857982457	4.494685382839174
8000	-5045.753862085525	1.0665085592673913	8.129100490644229	0.33156066100271586	4.312622278240346
10000	-5042.690516473597	1.0765312287891247	6.969203726795697	0.30869992052897605	4.313333049761832
12000	-5042.498400543388	1.0439662856111405	6.72491147454815	0.32727589594875006	4.3214424162187655
14000	-5044.006398535701	1.0327914608359205	5.821554778631278	0.29831269841564445	4.222650531310407
16000	-5049.788556693932	1.0892334548534819	5.978400209454806	0.30252453564996373	4.374311854492767
18000	-5041.456708646864	1.1336516707551294	6.2249804988769775	0.3159588916105396	4.3699992111614305
20000	-5043.020169807267	1.0490643810071338	6.002059301730658	0.34385075667625414	4.526679422480697
22000	-5042.234619259049	1.010999363796951	6.381182520160981	0.32750470274859117	4.592121759512485
24000	-5039.92112508374	1.0990438431147718	7.453341780973272	0.316466869967113	4.482245927221904
26000	-5038.37856505308	1.0934333956772955	6.354552042735025	0.30957331626416	4.522962731871804
28000	-5047.985395895216	1.1733809127436765	7.602269477640698	0.30820692739435795	4.27734123408623
30000	-5044.366997375718	1.1172489766099047	6.1675591482992145	0.32635098766616377	4.573872374876979
32000	-5041.992833957179	1.1724368073971463	7.281903034781938	0.3207636840491934	4.483475036514579
34000	-5046.742566279373	1.0515634462644843	7.459489384687645	0.31300460534812785	4.300755092694609
36000	-5046.192091709829	1.0806901222877767	7.090183196856918	0.31965190679962024	4.322675904568363
38000	-5035.859269526569	1.0906720136399872	6.824421736738986	0.32100829439309136	4.469045135762403
40000	-5040.6752142148225	1.1537125468053715	6.341584942684395	0.31418532334220167	4.394334239782004
42000	-5045.081914569064	1.186698473151346	5.3325474918141	0.3141678209684793	4.445547572814007
44000	-5037.744458768163	1.16123794550518	6.817561709414601	0.30856114991236655	4.497995107197811
46000	-5042.697202994714	1.0346045503714256	7.261567348864032	0.31623355217026344	4.454548418298998
48000	-5046.230085494066	1.0955370230033754	6.610957248049595	0.32672700982561426	4.485147726072713
50000	-5037.640244731868	1.0410306358472006	6.180977768317018	0.3164954978803054	4.32848916793281
52000	-5038.658255029891	1.117582862163848	6.883021283341258	0.31107753361226914	4.500678815467623
54000	-5043.019186697961	1.0540297083963368	6.541646676173385	0.29236896507052185	4.203864934506553
56000	-5033.041828779114	1.1485673080315775	5.236644898589837	0.31687218549817964	4.386660090690222
