#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="treeLikelihood" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" useAmbiguities="true">
#    <tree id="tree" spec="beast.evolution.tree.Tree">
#        <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#            <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="3" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="4" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="11" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="12" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="13" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="14" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="16" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="17" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="20" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="22" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="23" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="25" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="26" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#            <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#        </taxonset>
#    </tree>
#    <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#        <substModel id="subsModel" spec="phylonco.beast.evolution.substitutionmodel.BinarySubstitutionModel">
#            <parameter id="subsModel.lambda" lower="0.0" name="lambda" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </substModel>
#    </siteModel>
#</input>
#
Sample	treeLikelihood	subsModel.lambda	yule.birthrate	tree.height	tree.treeLength
0	-2927.980319643647	0.16029596453931197	7.746735420490718	0.2805181703168913	2.950125950053965
2000	-2926.0920743740817	0.1748167246691421	7.23498890500648	0.34957403390771163	3.2259469756465142
4000	-2922.9221921263957	0.14589484042344844	7.996229902129292	0.310201212000193	2.9443062072972586
6000	-2920.7222783475945	0.1470295404416109	7.193881544797645	0.34782862905185336	3.161046459497038
8000	-2919.8422105387285	0.1552962345530863	7.767547132224255	0.3191298607682343	3.1120090325896617
10000	-2923.5825310792584	0.15525550693419685	6.013836628416605	0.3280083308336726	3.2659569649053823
12000	-2922.3184773132184	0.16040291842575163	7.775915440879091	0.3111476194353194	3.081306749077498
14000	-2921.826417201353	0.15637603369490247	6.524478203262937	0.28847120267436577	2.9392785699118846
16000	-2918.6725803467016	0.154780634427453	8.183604647961635	0.3195865411522877	3.1577416376863994
18000	-2924.1223096450526	0.14178233297035223	8.857733527874453	0.32476143882555725	3.091516370208082
20000	-2917.854268271678	0.1637940259594106	7.192811743512733	0.35002200326029026	3.2470470549320023
22000	-2919.7407210650285	0.16890137583173195	7.873688436590515	0.3862010953294626	3.4209414398367435
24000	-2920.699351418176	0.1638781620928129	8.41001319062621	0.35942381661298417	3.4197799776587456
26000	-2921.5813754716532	0.17037236164073308	7.135671775313788	0.3661127660565932	3.2891730972543556
28000	-2921.7586515341136	0.15983245476292884	5.950014683690712	0.3311962633831186	3.212157667045199
30000	-2926.907484555592	0.1660218557950078	6.9780994516649235	0.3220791916053224	2.975065323774447
32000	-2919.5977338216367	0.1502879088544869	7.476982140614974	0.31281899495843696	3.087976818262805
34000	-2926.701566382187	0.15517191160467741	6.805785396973014	0.3201903575497764	3.1611652445861944
36000	-2922.8360460447648	0.1599964181190938	8.241898659783914	0.28893297642036186	2.942855356104881
38000	-2917.699472629444	0.15928116004349666	7.448839446733863	0.3020007135633858	3.0675514242790887
40000	-2923.0331320652544	0.17437158654501472	8.169027386038552	0.29429139071392485	3.0306242059317596
42000	-2920.6869938975883	0.16597615844960614	7.678201497142569	0.32704150478632593	3.02315974122318
44000	-2917.439753993305	0.15409851828391483	8.52716255450759	0.33917533304628633	3.0797425828032337
46000	-2922.235863082094	0.15433568902722064	8.016093630659686	0.3328635833040715	3.0891226244751238
48000	-2933.13187068261	0.14599133804012757	8.081115608107975	0.34707552423254384	3.1485174595163667
50000	-2930.2225825141604	0.17465780997659594	7.866967371755266	0.33065361413576444	3.218249684824013
52000	-2921.4851431837888	0.16126299947228018	8.357303813261387	0.2763891745178241	2.9610680186474725
54000	-2931.6018489485164	0.1621434504518865	7.701331818197704	0.30272947159548624	3.031892477574099
56000	-2924.903521074249	0.1805423365256759	8.022356482054464	0.3420714148440721	3.3042009130571666
58000	-2916.0656168363985	0.14828918370989158	7.212447260533721	0.32537112840980176	3.124697516776851
60000	-2919.032058864714	0.15219798711180246	7.05625783303878	0.3444370034836146	3.1084587343327907
62000	-2917.414972525502	0.1466668818680502	7.907878161321204	0.3072768924543313	3.090127092356881
64000	-2922.2880810209886	0.18542516698672556	6.328044165297371	0.30522450499008363	3.271779061937257
66000	-2926.7581363475833	0.15547079689164417	6.840373552744575	0.2961874856752085	3.1276701601932992
68000	-2924.244933604062	0.14897714978047605	7.139754797781613	0.27544850779587043	2.9798368223085765
70000	-2918.224120672223	0.15666910168136308	6.570199135310045	0.3212687131234174	3.2032295542966085
72000	-2919.384135402417	0.14805404690615162	8.55908747040627	0.36263402858588234	3.2180815981972652
74000	-2929.4999493833798	0.1527226429059183	6.4308517311757365	0.37325257690620384	3.14687653243517
76000	-2924.9522941601426	0.16440077573915873	7.841608467866432	0.29262409120788857	3.038702773957183
78000	-2930.290523340654	0.1521740141940615	6.737195078427229	0.3028290072191027	2.8128458314029956
80000	-2925.038234104105	0.1776872907025841	8.394503151096751	0.29631248365788115	3.010995710738846
82000	-2922.9374241749274	0.13814254751968316	8.174434812457978	0.28184336050203346	2.769828404530714
84000	-2925.834716409281	0.14662595501745632	7.586730818960532	0.299799143480206	3.01163746586146
86000	-2936.0655736181325	0.1797182069058177	7.611692275539067	0.4413778348384645	3.3045281025030495
