trace	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	psi.height	psi.treeLength	E.treeLikelihood
mean	-25440.6124731828	-25417.7806914124	-22.831781770392	0.200292939854484	0.0100172291808521	0.0443047627919322	0.0182196124960612	0.0156826024916472	0.194032114924383	0.0148988389218321	0.0225373828645308	0.0150238547747414	0.014732641629709	0.205854092865954	0.0190156631963289	0.0104841916188139	0.0136762481618333	0.0120953856104946	0.189132438616401	0.1564012032469	0.158428586537983	0.181588024946277	0.154349329888496	0.184109831856017	0.165123023524327	2.13509995923387	0.26080777279816	4.7852293553087	-25417.7806914124
stderr.of.mean	3.06213523875004	2.7616271713339	0.302112960414193	0.000209902243899776	2.81235486918903e-05	0.000106245961349883	3.87243194452966e-05	4.05161429481602e-05	0.000218101713079457	4.01899136439431e-05	5.4322294017601e-05	3.62380630857262e-05	3.89024562537103e-05	0.000202712760529828	4.73847662191496e-05	4.77076964337525e-05	4.14391493965481e-05	3.03942996404753e-05	0.000193600395855496	0.000169199841296249	0.000186750823365062	0.000159957928857095	0.000153782220130606	0.000218570391673714	0.000138715094715521	0.0113637819007632	0.00055243885128654	0.00399071263750823	2.7616271713339
stdev	135.11801086396	121.639809081897	13.5109006385339	0.0056723502782614	0.000981869811182969	0.00365157859390658	0.00141558210021249	0.00143061952454477	0.00551056780553835	0.00170550888150862	0.00173506935540101	0.00137335462108591	0.00137885477606037	0.00523604437272867	0.00151859242698704	0.00198640689010122	0.0014701103456147	0.00110200001939688	0.00518482522655252	0.00581274751306174	0.00452890511469134	0.0057901220905797	0.00549409645481959	0.00586826950103257	0.00491982496988994	0.456255400657419	0.021818377821934	0.11875454785465	121.639809081897
variance	18256.8768598333	14796.2431534803	182.544436064335	3.21755576792921e-05	9.64068326112479e-07	1.33340262274767e-05	2.00387268244201e-06	2.04667222400871e-06	3.03663575394357e-05	2.90876054490478e-06	3.01046566805169e-06	1.88610291525804e-06	1.90124049346448e-06	2.74161606731835e-05	2.30612295930239e-06	3.94581233304159e-06	2.16122442828337e-06	1.21440404275073e-06	2.68824126298953e-05	3.37880336506054e-05	2.05109815378774e-05	3.3525513823819e-05	3.01850958548612e-05	3.44365869367491e-05	2.42046777343526e-05	0.208168990629062	0.000476041610780662	0.0141026426361624	14796.2431534803
median	-25437.2165115641	-25414.7308132015	-22.366745118251	0.200433833782101	0.00999700661272044	0.0441932053408715	0.0181424253683824	0.0156438727266668	0.194020094880861	0.0148345537982909	0.0225014079736394	0.0149540174190301	0.0146894587614548	0.205897783615193	0.0189324423925929	0.0104056207383036	0.0136320530419452	0.0120569838833968	0.189150970577875	0.156507923776382	0.158303522409541	0.181551399765811	0.154237187318974	0.183949601146998	0.165049758874676	2.06965218289549	0.259652519747147	4.77948611858245	-25414.7308132015
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.200190791283818	0.00996951472373272	0.0442085867053757	0.0181685096470802	0.0156199753029528	0.19395366293658	0.0148339546533645	0.0224741733774351	0.0149636749246939	0.0146682968467678	0.205780044450253	0.0189562778098134	0.0103975773556085	0.013597315724877	0.0120393856733578	0.189058299623328	0.156293025775544	0.158366168629711	0.181490683278717	0.154248426909837	0.184017895276725	0.165049767289699	2.08719735506709	0.260428622208607	4.78389196087583	NaN
HPD95.lower	-25447.5240311604	-25424.7686843262	-24.0568430370165	0.191015632213295	0.00816780264509033	0.0397127097056423	0.015728297760228	0.0131671107726422	0.184435562252469	0.012558339370389	0.0194622323828286	0.0123866454539536	0.0121968990415889	0.197208679619451	0.0162751948278679	0.0083460895580695	0.0108857603351993	0.0100544778601066	0.179626858114898	0.14525625525669	0.150375882260829	0.170779326375541	0.143460403180387	0.173391357725455	0.155618384050573	1.34464255709293	0.24643628545902	4.60809017425584	-25424.7686843262
HPD95.upper	-25428.338556024	-25405.8087370569	-21.2455548078395	0.209754639054881	0.0119240957702293	0.0493050287850359	0.0208290191302195	0.0184984084781007	0.205167250774391	0.0174110986208936	0.0256882799609017	0.0175574240870553	0.0176040040417304	0.215777237531656	0.0218975711688093	0.0126974671629661	0.0165407599035702	0.0143271376602381	0.198377916477744	0.168049998436597	0.166521304481235	0.192229766476529	0.164192117012263	0.195616703504114	0.175289296030149	2.99831545740707	0.27688965667136	5.00022652098716	-25405.8087370569
ACT	5135.96599693139	5154.4048362098	5000	13693.2952083	8204.12590963339	8465.71117270555	7483.37234569565	8020.61712544797	15664.8176503649	5552.97945624875	9802.17419824138	6962.48798134172	7960.06990921919	14988.4053782561	9736.3217310566	5768.20065908852	7945.50834673197	7607.13228184844	13942.6116327983	8472.99355552057	17003.5067527881	7631.9583771564	7834.64973236015	13872.7465241817	7949.65043643507	6203.39784585569	6410.96494932745	11292.7653239144	5154.4048362098
ESS	1948.02691567229	1941.05824395373	2001	730.649551317321	1219.50834375323	1181.82628675749	1336.96407686499	1247.41024830321	638.692401233724	1801.73546090494	1020.69191973705	1436.98632253466	1256.89850894556	667.515973014341	1027.59545918521	1734.50970091269	1259.20199984625	1315.21309598798	717.584356754545	1180.81052870402	588.408035204824	1310.93482243646	1277.01943823672	721.198212809569	1258.54590462806	1612.82578493399	1560.60750278312	885.965457797364	1941.05824395373
n.samples	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
