trace	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	psi.height	psi.treeLength	E.treeLikelihood
mean	-5616.06302939422	-5583.30248983853	-32.7605395556845	0.205857659985002	0.0146702583120785	0.0128878320580306	0.0130048916673453	0.0243532232164641	0.195604712813542	0.00803733884934343	0.0102608740306506	0.00848339370327629	0.0164026093939714	0.201293315621736	0.0111675903960842	0.0110517606847609	0.0187661043646822	0.0144905883088783	0.233667846594152	0.172400060529542	0.167496049806882	0.150768019284138	0.165670429146732	0.181924945729114	0.161740495503591	2.64659195106542	0.369672767956231	6.18066071788333	-5583.30248983853
stderr.of.mean	1.14547856067487	1.08171958918455	0.0702612284691441	0.00030381650465471	6.35703228692267e-05	6.85510458140754e-05	7.04651507387036e-05	0.000114952492761405	0.000265260937318586	4.50815244950049e-05	4.92020580782346e-05	5.23809671416286e-05	7.26111444024888e-05	0.000352335118996402	6.33084267641061e-05	4.90565784073348e-05	6.34488558142739e-05	6.26301856293227e-05	0.000383703149742958	0.000253761781254848	0.000303882191086042	0.000267178864871472	0.000276320243151995	0.00030624036016791	0.000276059729879923	0.013130350483714	0.000736409151446738	0.00883344447118323	1.08171958918455
stdev	49.3242516297391	46.4097841067449	3.14217726802076	0.0101849588785035	0.00265627291383869	0.00269355483629077	0.00265143725921721	0.00447170722821237	0.00911900214120046	0.00185322493437825	0.00209127892811043	0.00200355108882635	0.00297991593062514	0.011555573080667	0.0024097090289383	0.00198160315450588	0.00258730941462393	0.00243656459185011	0.0119427982914206	0.00944904911514141	0.0114623132999682	0.0101097165845009	0.0108925681708361	0.0113915001384568	0.0104541560293742	0.587207051598739	0.0262917848027073	0.294165004750411	46.4097841067449
variance	2432.88179883382	2153.86806083467	9.87327798366642	0.000103733387356807	7.05578579279307e-06	7.25523765610541e-06	7.03011953956528e-06	1.99961655348468e-05	8.31562000512185e-05	3.43444265740128e-06	4.37344755515873e-06	4.01421696553726e-06	8.87989895359351e-06	0.000133531269222637	5.80669760414676e-06	3.92675106194764e-06	6.69417000700163e-06	5.93684701025772e-06	0.000142630431029559	8.92845291803547e-05	0.000131384626186628	0.000102206369418933	0.000118648041356312	0.00012976627540446	0.000109289378286501	0.344812121447284	0.00069125794811187	0.0865330500198092	2153.86806083467
median	-5614.54056870739	-5581.80052240879	-32.5737197752647	0.20583270340898	0.0144949859380059	0.0126966806094832	0.0128222165042622	0.0240766322650917	0.195733288091711	0.00785735203570441	0.0101687120437873	0.00834340706544008	0.0162387126133806	0.201452260469619	0.0110241742855511	0.010917447810296	0.018686004908992	0.0143554577965926	0.233276899615004	0.172267285429074	0.166934752413826	0.1504926198916	0.165438835114488	0.181644005243196	0.161715343714871	2.58890922216039	0.3679678127205	6.17685642234135	-5581.80052240879
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.205567582262934	0.0144718722487525	0.0126315169878203	0.0127725242262387	0.0240705466393025	0.195383824147496	0.00782891311732673	0.0100704530462539	0.00827158261114101	0.0161663744387321	0.200939172922762	0.0109401220766354	0.0108756125096043	0.0185931084171458	0.0142907609869981	0.233349685172577	0.172109645900263	0.167104155439996	0.150429917106728	0.165311487819018	0.181573359628555	0.161402597479179	2.58404736476957	0.368924005995423	6.17406621011248	NaN
HPD95.lower	-5626.35686388477	-5593.58511853521	-34.9500899514078	0.186775272967184	0.0102039715645695	0.00846349640756508	0.00870399634629999	0.017128359760389	0.177385325976303	0.00479965910239244	0.00667291997975616	0.00522731030193258	0.0111769752158202	0.179146576257684	0.00697354941189751	0.00727500428099644	0.0140960855074243	0.00983274788047541	0.209585944397656	0.155795600804787	0.146017023288577	0.131701564359453	0.145105415304994	0.160828797190926	0.140763059840062	1.58093207179675	0.329638679041091	5.64738330672028	-5593.58511853521
HPD95.upper	-5604.77524275541	-5571.75561549032	-30.742534901561	0.223940371341383	0.0191512916460044	0.018049557115086	0.0178344280895887	0.0306695893162238	0.211972442810302	0.0118135588526349	0.0141245047468601	0.0123154133010813	0.0215462845948571	0.222530374872492	0.0154457534119974	0.0151059313302524	0.0239486661456038	0.0191691032602796	0.254552376400133	0.190840790077608	0.190679495244727	0.170650393478848	0.187856334359824	0.203369532173201	0.180982870957544	3.71385210368082	0.410480364348129	6.69605978005049	-5571.75561549032
ACT	5393.27806868561	5432.63070924985	5000	8898.23881938734	5727.4767943338	6477.03759702137	7062.94707984566	6608.3031096708	8461.58761859666	5917.53464955379	5535.31712314194	6835.11891934749	5937.42901906658	9296.69924998777	6902.29829515272	6128.59650492941	6013.82440764207	6607.10839364902	10322.34630807	7212.3385896783	7028.55163906203	6984.35218800056	6435.23962254569	7227.08072322144	6973.13468188568	5000	7845.09319916177	9017.33172472017	5432.63070924985
ESS	1855.08699395474	1841.64920007631	2001	1124.37980178744	1746.84252058393	1544.68765236148	1416.54749595244	1514.00440233414	1182.40222177825	1690.73788199186	1807.4845175846	1463.76385225425	1685.0727760907	1076.18841171109	1449.51718575047	1632.51080275112	1663.66679866578	1514.27816889112	969.256378482294	1387.20608795576	1423.4796176777	1432.48790019339	1554.7206610532	1384.37640081323	1434.79230739516	2001	1275.31945714412	1109.52999240033	1841.64920007631
n.samples	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001	2001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
