Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	delta	epsilon	psi.height	E.treeLikelihood
0	-3159.548524575874	-3210.220967528632	50.67244295275798	0.04169840168547762	0.07553482648495706	0.09128562057893014	0.07530135591416834	0.14125589623081514	0.0382304913915657	0.018883633582105222	0.04184043183937754	0.030604479371316107	0.02991517254675128	0.06900381750521968	0.10614322228139923	0.04223697738929775	0.12986997875377482	0.02182289552023239	0.046372798924612095	0.17332325248070762	0.3682341741784411	0.0736353672584801	0.15150640146092054	0.11446811013532732	0.11883269448612338	0.16180135806004073	0.18436247181193552	0.04940740684408658	0.11794080274866695	-3210.220967528632
1500	-3150.7107236724796	-3210.684774582644	59.97405091016428	0.06336071683659175	0.05708637461988516	0.054451736102285125	0.044857293082080245	0.13767658319258708	0.050988297676730236	0.033550425988150105	0.0309705345979068	0.03415876875149071	0.03216888966740627	0.07215027455268133	0.1164006205461767	0.043667292778616945	0.12219876061249463	0.01286683960635127	0.09344659138856576	0.07211556474960247	0.4960250434448717	0.1058077571066629	0.08646414695018978	0.15929034292440267	0.08029714482427058	0.12581874908661092	0.200534828950092	0.04772303947383155	0.08961621047525874	-3210.684774582644
3000	-3142.636354613838	-3202.207415145051	59.571060531212794	0.04653996777229631	0.0873245155258217	0.06303682600840407	0.058627140554114825	0.12344599910880959	0.06492294658294623	0.03170038366990984	0.02946031544808759	0.041328058101229845	0.012308030272624185	0.07705288295734335	0.11924850087537894	0.05099046461266261	0.13570981395798987	0.021949361822299594	0.03635479273008152	0.09280053253011455	0.562044028433135	0.0884430637468904	0.07808569763592949	0.0927234002066411	0.08590327744728962	0.12238729376837992	0.18925503512441857	0.045891692534200515	0.08968607405738525	-3202.207415145051
4500	-3144.576086030166	-3207.707582188855	63.13149615868895	0.05946978389909258	0.06967391685898189	0.06862668478845713	0.05105167366257851	0.09867602362747538	0.06114209826648005	0.03362907867751311	0.035998283750226616	0.0354218823085194	0.027401168861285248	0.06667651977308434	0.13020655492836483	0.03854493951194197	0.1511546260996392	0.008614406105187596	0.06371235888117223	0.0966149568542547	0.5721690510315369	0.1312388797393533	0.04719028348071953	0.10889032553501163	0.04389650335912401	0.09728712241213013	0.20131896081241688	0.05072561247462813	0.11911218725019389	-3207.707582188855
6000	-3141.8734036742326	-3205.5346764792907	63.66127280505814	0.0487488877909416	0.05621298657529443	0.06262187624280172	0.0661749540532205	0.1494624247889404	0.07650685202006458	0.030246846377649426	0.03708669474328088	0.02893155086785689	0.024029214128065482	0.0787452186609035	0.08459995110310958	0.04514125053849905	0.13756204473423944	0.01070278515757148	0.0632264622175611	0.08423878039142216	0.6678111209064557	0.06295698837440963	0.049257020502377326	0.0806639162806983	0.055072173544636976	0.058548052553912724	0.20550677075147067	0.05186045131074536	0.07840873138937239	-3205.5346764792907
7500	-3143.024707339526	-3205.3126572862334	62.287949946707634	0.03315343771709074	0.07407898504904073	0.06443825753337311	0.06385268159648928	0.12181983556091715	0.05299287821398779	0.046886080828444865	0.019750613291642495	0.05201267049544757	0.03532028361990099	0.07864339216046444	0.10302874336614426	0.05432340538721869	0.12129508867565589	0.015559378882928163	0.0628442676212539	0.0780954949109025	0.476733089358614	0.1450437376896754	0.12570365644392245	0.06638569156012775	0.10803833003675799	0.08419673877836556	0.1980062082571215	0.049578180337267234	0.09761610879907111	-3205.3126572862334
9000	-3153.087312991689	-3211.6640368568146	58.57672386512544	0.048628055902258854	0.0679574219201777	0.05945948795281163	0.07674562823973122	0.13950134979321527	0.07283189978815621	0.04889529798682155	0.04084886728497067	0.03553640257429694	0.009339315444809641	0.0633587868753206	0.09342765022008026	0.046005362680869744	0.1303411507073493	0.010500909721648737	0.056622412907481795	0.05122120229942961	0.4694105942610902	0.09252081677657509	0.05133480494530997	0.13954118148706832	0.1959714002305269	0.1169370999439214	0.20078170076752638	0.05650784451834655	0.09905938885562203	-3211.6640368568146
10500	-3154.4609579428916	-3209.30691754366	54.84595960076838	0.04050393650758487	0.07642637587428341	0.08546495532233694	0.0685327587346953	0.1253724904151519	0.04606600490632799	0.03088879419007407	0.051784340715097306	0.03341629837922139	0.038887889118884245	0.08747195575834682	0.07454605169383116	0.05038463879828885	0.1179850249454741	0.00549728008000358	0.06677120456039812	0.09029811236576638	0.4944912371648779	0.05094808810018622	0.12132701167982352	0.11976775671865275	0.12316779397069341	0.11119537657104385	0.20304452452253827	0.04245055329333384	0.12540234486782018	-3209.30691754366
12000	-3143.274168102603	-3206.8239706647682	63.54980256216494	0.03467705933760456	0.07550778317998039	0.04744063982577264	0.07506638481602629	0.08800563834645657	0.059350612508556	0.03098299598008477	0.04169262736723465	0.05123107869788205	0.031807843001733595	0.08670314956481914	0.11456374380305455	0.04822486385247701	0.13387923645736471	0.027489196052308686	0.053377147208644435	0.04538904594779625	0.6043057679812038	0.050432177657824144	0.07306466639166773	0.12507131037113814	0.10173703165037012	0.11295984271166	0.20751986195834904	0.05350397542896516	0.0904046729825547	-3206.8239706647682
13500	-3152.3925632792398	-3211.1887898673604	58.79622658812081	0.048818396389574296	0.09099258199247456	0.06244084348196298	0.0923368639034916	0.14051730104482413	0.05454925746272419	0.03372533703567454	0.02194713131100591	0.024185155562578282	0.047633179262403715	0.045336319439473506	0.08296559892577848	0.054717960821247205	0.12521984037576228	0.0092058469857602	0.06540838600526422	0.11097773584887531	0.5036684798021573	0.11154368353072637	0.04411714891087018	0.13245535744526477	0.09723759446210609	0.10451695141441736	0.19185426980479012	0.04823186682588983	0.10165063117192277	-3211.1887898673604
15000	-3146.921899337562	-3211.686378150656	64.76447881309366	0.04587264173128159	0.07343153903928329	0.0963367084863048	0.061218024231249925	0.118105377478789	0.05667556090664551	0.03510444757328276	0.053672368536013516	0.03295685677718783	0.0161432904557324	0.06305400208328762	0.07250342231200393	0.037912216379246334	0.16922408761906255	0.012121437598278995	0.05566801879235003	0.07193879282410942	0.46612507940229864	0.1136598889439529	0.07087150828363989	0.10767382145717865	0.16973090908882082	0.053989778898130544	0.19481741779150114	0.04564728809928647	0.10616354091157557	-3211.686378150656
16500	-3149.537107390755	-3209.314504581613	59.77739719085803	0.026897182452062303	0.05103911573154349	0.06841604828874978	0.1016364932028674	0.15440878599011473	0.038819856117156555	0.020794864446191226	0.04140766895044983	0.041821367351722184	0.025239097102458037	0.05866435560716649	0.09937281552867225	0.041524794378861404	0.14995442418803	0.009518790910488295	0.0704843397534661	0.07721101112557	0.4810358691896873	0.029974386301992784	0.1639186571997363	0.08707189473610898	0.16078818144690493	0.06490700598108969	0.20246931560506193	0.04934283067077463	0.08890901893622243	-3209.314504581613
18000	-3147.8694121048884	-3211.591237059583	63.72182495469465	0.03625331383269304	0.06735039150552302	0.06737339185307756	0.04421940473352949	0.11348031242047955	0.06617867732821825	0.024769397779177506	0.028303898897231693	0.05142293866472528	0.041299278076380834	0.047971665151719016	0.1446576391868064	0.05702260192950338	0.1379402244994839	0.028269135230474127	0.043487728910977075	0.06995707650382037	0.5417805245362967	0.034382883880059736	0.141726250200899	0.12860238307371227	0.08355088180521253	0.08500177962501002	0.21067332592618293	0.04389296531681013	0.08742127280588162	-3211.591237059583
19500	-3145.4786057310625	-3206.636100529104	61.15749479804155	0.029161091053301023	0.0932959247840045	0.042693285418360954	0.09052898867233744	0.12851385642946314	0.046829890105939284	0.031401188526675165	0.0371232833399815	0.026776735862358403	0.022823710415884504	0.05806654466879327	0.10588504301953192	0.055043049994422215	0.14690699849619265	0.030221168067782057	0.05472924114497215	0.06995707650382037	0.6084468215694685	0.10582715031523744	0.055627842061009965	0.08370107059660921	0.076440038953855	0.10878132863644152	0.20318143579117237	0.05082378768707217	0.09784335888298842	-3206.636100529104
21000	-3140.797030764005	-3207.464942182307	66.66791141830218	0.05431601372161729	0.07308816208930863	0.05010774649977535	0.08983891560298912	0.08503188571351064	0.049147790419460796	0.045710267438280223	0.04038913142512732	0.04075569104758825	0.023059384778580452	0.06080932094165056	0.12108723323414403	0.04791038483512204	0.13992911501799388	0.02028295950571437	0.05853599772913719	0.0791401809819672	0.6598119403865104	0.05222841355385028	0.07902236747749891	0.0725547433036997	0.057242354296474104	0.0811832377937263	0.20358624643444276	0.049575139779251806	0.08785173905067664	-3207.464942182307
22500	-3145.0039003373163	-3208.5213842352223	63.51748389790607	0.042799188652742425	0.057932642460669925	0.08618495355338221	0.059259087915375944	0.09897884741391517	0.06730852672175704	0.039378826898880614	0.044558993462380854	0.042354324013687536	0.040597454046227735	0.047283174733554374	0.10414889148221043	0.05124895694047841	0.13651515305791379	0.01987372362861927	0.061577255018204394	0.08691147800023229	0.43739929148491064	0.0876863406877995	0.15593210000316776	0.14564958762810687	0.08642120219578353	0.10478917986988867	0.1982598357613071	0.0447855345586643	0.11759791950648824	-3208.5213842352223
24000	-3144.573034754538	-3206.2119800589126	61.63894530437435	0.07116227315673546	0.06561873471557829	0.05935677492219601	0.06521699446172344	0.1379083152410889	0.041952213195572824	0.03577649342083922	0.04335871607910723	0.03302571436366694	0.03537455585649825	0.07306634813890367	0.08152344729479283	0.044798085316718514	0.14212749664454677	0.013841683622706338	0.05589215356932542	0.08724960507860849	0.5801350682350828	0.1152166770821567	0.05693010142148612	0.11613020884174163	0.04433833934092493	0.08167212544225125	0.2028982206384255	0.056550015072366816	0.11604945479085348	-3206.2119800589126
