Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	delta	epsilon	psi.height	E.treeLikelihood
0	-4763.609164909734	-4823.915778859894	60.30661395015986	0.05428595236699908	0.01669211604657817	0.15099060590793387	0.028561558026501843	0.07898412374739308	0.07475860559660936	0.034839057886192557	0.053696227904951176	0.08731221811525014	0.04291670782479638	0.029537828933064558	0.03780595428890181	0.14362479844176906	0.014024104438120742	0.06718002514318838	0.0847901153317498	0.0787504080300152	0.32487475155201373	0.04576748252836325	0.01597333127835407	0.5134446362048455	0.021189390406408465	0.10258946241313413	0.301504480806211	0.22735443952861126	0.08254412209241674	-4823.915778859894
1500	-4768.524542995139	-4829.259017926857	60.734474931717806	0.06622137832276878	0.011501898584105108	0.11558943559276724	0.029948259593481907	0.0526174946686712	0.056954302732805696	0.019232016877240528	0.04504639850102295	0.1446791160324562	0.045463359976788735	0.047679180220686	0.07151429460210063	0.11799604939695965	0.021697588002383715	0.059405755223715	0.09445347167204671	0.001072760017813635	0.23243797412376635	0.07635419449164672	0.019297264827290092	0.6315644230639961	0.03927338347548736	0.08334707341958737	0.30380357425527166	0.22110294930585958	0.07672509482203588	-4829.259017926857
3000	-4759.775762268037	-4831.665103625851	71.88934135781352	0.08066203625954549	0.038543235490616785	0.1360279782136473	0.029600955751715063	0.05670666461169023	0.09437373041649161	0.0409132102931343	0.051095080312066866	0.07727476710803984	0.03973661993679159	0.04306904893304037	0.04483700240131113	0.109452788461394	0.029546340880221136	0.047891518636802834	0.0802690222934915	0.02399157699394528	0.2610559300563743	0.06424475894125388	0.08578923431231505	0.5499587040684863	0.014959795627625443	0.05155024595884251	0.3078385331959349	0.2204546565895871	0.08027484222133266	-4831.665103625851
4500	-4767.608309801969	-4827.113957823189	59.50564802122011	0.06524384575146175	0.02121076572060846	0.1398607036184199	0.01992164428040847	0.0537377752579457	0.08142954354097796	0.03169799750959588	0.062232504986376516	0.07596219354380036	0.051356598357861744	0.049256283494872655	0.04682215209782776	0.13234549538499277	0.03365855262314082	0.0591845618231276	0.07607938200858166	0.0483768639704929	0.3509778891416247	0.08246305926230706	0.032476412699466786	0.44114250528317633	0.044563269642932515	0.0950645787529898	0.3024741072874628	0.21545990541189042	0.13352691167746963	-4827.113957823189
6000	-4766.463133140991	-4825.876494380507	59.41336123951595	0.03766397670820973	0.010678149179445671	0.17250529354064495	0.02565614547177064	0.06331378783057179	0.08522680802195298	0.034753640826649564	0.030843410329683164	0.1098230826865434	0.039354937709116806	0.024531575260408188	0.041191724257774676	0.1457411850507829	0.02868173388937502	0.06949311108773953	0.08054143814933104	0.027845696655125422	0.280191593043555	0.09947289271687222	0.03329756564595911	0.49563917123884266	0.06355308069964605	0.1292038059175102	0.28665994177784654	0.23408139833237954	0.0806940800287122	-4825.876494380507
7500	-4770.474023301876	-4834.776703603882	64.30268030200631	0.04764007686020644	0.04186960010802011	0.15461632654563362	0.03608908221643497	0.06219726477544248	0.0828090664367706	0.03621074288900163	0.035913072892188175	0.07997754573119464	0.09423426978044297	0.04994760597225664	0.03908260100664987	0.14117492466331638	0.012402800415411946	0.04396306991150781	0.04187194979552173	0.04278575209833823	0.23651391177261655	0.0878346170780194	0.06263067023991144	0.5694840535896	7.50995221514842E-4	0.066367535143686	0.3071484372753866	0.23124155384834522	0.06335452961219797	-4834.776703603882
9000	-4762.274134412765	-4832.809015120048	70.53488070728271	0.06937233544103312	0.016300346448851914	0.12260537685471654	0.02041132577548708	0.06453797949332979	0.05596935305500521	0.019589289826708392	0.060813356463960896	0.09572550664989324	0.0608041014829066	0.05603885057160514	0.03683747555802254	0.14825157050001775	0.02933501803827604	0.0839037497899184	0.05950436405026744	0.01832723238617585	0.2681563435840083	0.14989935040635655	0.049382331858481975	0.46401298759016485	0.050221754174812824	0.055323731593419835	0.2867233508160882	0.22209073175699864	0.07954189181520273	-4832.809015120048
10500	-4767.171682985561	-4833.353571470541	66.18188848497994	0.07391557848440065	0.017636039177026372	0.11562417099533336	0.041832048501342374	0.06842782517533968	0.06401949685380073	0.04631786190397118	0.044896864968539986	0.09346257384326903	0.05632848846094731	0.040552353590671636	0.04088235849248785	0.12886386757097165	0.010085966360807691	0.07626996793719523	0.08088453768389534	0.02107540113106315	0.22437496847829477	0.10171201861190093	0.04670179750194425	0.590816697229195	0.015319117047602127	0.05283896010719769	0.29862364204247727	0.2313690513826457	0.08849138229965155	-4833.353571470541
12000	-4756.1826945857965	-4832.27032082766	76.08762624186315	0.06212598528984293	0.04761378340402923	0.14981807951625079	0.027405137614697858	0.05160341379277824	0.09067111713537535	0.03568608389528467	0.027466780782964148	0.07142900682588812	0.06987687473720104	0.036160367215640386	0.06379224112566242	0.10929509516537386	0.015966961256240773	0.05127426441643915	0.08981480782633114	0.009740828483638993	0.3577627391613437	0.08425164370469576	0.005956841651465178	0.5151810545311933	0.02710689246766352	0.0387311776360187	0.2982563284995981	0.22054114969162902	0.07586418245767058	-4832.27032082766
13500	-4767.426186143147	-4824.446608535155	57.02042239200814	0.05735994647482851	0.015982994144921353	0.13675325285427425	0.019012945364691003	0.060576315597373705	0.0781307030172061	0.028759390999131537	0.0364373827175714	0.10610573693451067	0.031060798716677412	0.036780704431479946	0.045107906295263164	0.17458950622747169	0.010540436881480472	0.07214899788656513	0.09065298145655373	0.02428220624437919	0.11599745205305048	0.04128140214752674	0.11463494347533727	0.6805861445262734	0.0232178515534333	0.12023381159527699	0.3006203750507974	0.21682980708573096	0.08279064098176078	-4824.446608535155
15000	-4772.074949512954	-4833.0286545283625	60.9537050154083	0.06482237293049922	0.031173865564242162	0.1551308818220842	0.025960657078361038	0.051051297439823375	0.05515187753548621	0.02784141840705539	0.04379922446521332	0.05680279462883264	0.05591835076191183	0.06015007572809838	0.04618925481460692	0.17715123505714916	0.02599893219838635	0.0643449523923022	0.058512809175947686	0.01555080288755839	0.30811132929621343	0.05966379967639287	0.00635607294988761	0.5279437450116993	0.08237425017824884	0.11323036244155375	0.2962372493605845	0.2197861749388607	0.1254180117276152	-4833.0286545283625
16500	-4758.752035273792	-4830.910675103898	72.15863983010618	0.04749602536258714	0.028141951402735836	0.1424504759560344	0.04097495312940309	0.07034516998721962	0.07850132543188501	0.014084231695055696	0.043462363102163414	0.07908106182824065	0.03559307963604814	0.03741462732015609	0.05220539336426574	0.14120441248859197	0.01907520980984844	0.09186354977974698	0.07810616970601787	0.05456479798340783	0.16222828485092528	0.14571594604621146	0.0469053059964356	0.5740307631297538	0.016554901993266362	0.05428163877212373	0.29410722404295614	0.22800697243851825	0.05508815538215253	-4830.910675103898
18000	-4766.502532014321	-4826.879284643179	60.3767526288579	0.06193348820676552	0.03782582551759033	0.15734353180511124	0.0307822920581447	0.04755594818372164	0.07350513721260366	0.033486391582853006	0.06088102932877454	0.06575693695238385	0.03387081146335318	0.028374067074281355	0.06226509259280148	0.14880715746858142	0.016965973937793727	0.057203291904563636	0.08344302471067676	0.056490102049453275	0.2263705936719037	0.06617148115175633	0.0922652348154957	0.4930438844386277	0.06565870387276354	0.09639467322258014	0.29518065677275923	0.22564925613833547	0.08270693800297986	-4826.879284643179
19500	-4765.483146637164	-4826.005312740402	60.52216610323738	0.05759275749794937	0.03146059731743113	0.13858020785145206	0.02174441658311972	0.07542185738995029	0.10942687398232508	0.028121928349228005	0.042899759037567375	0.09619791230772246	0.05045038911291117	0.03726199525587685	0.041340516060222245	0.12047754752207598	0.028728639133875654	0.04893084904873722	0.07136375354955546	0.10474250967105714	0.3018233712448404	0.03859157956686246	0.043015260837134	0.4853398480801558	0.02648743059995054	0.15921232091667314	0.2909321948758906	0.22202612550578726	0.08558885427881335	-4826.005312740402
