Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	delta	epsilon	psi.height	E.treeLikelihood
0	-2991.6579573845324	-3046.666486236022	55.008528851489565	0.06878228841112037	0.043071322276165246	0.03905200733138234	0.08244705711595596	0.03256748544295423	0.048751330793771204	0.06370891904374126	0.08293105119407794	0.00782372208959062	0.01952327227450942	0.09592135062051617	0.07361422126217518	0.08587494839336929	0.10760714784953396	0.06911885978018778	0.07920501612094913	0.10865830183511582	0.17700397196605688	0.0682480141972223	0.055063648124251824	0.31501791663740325	0.2760081472399499	0.17389202592422046	0.1496102206658585	0.0448619365864035	0.10464208763104932	-3046.666486236022
1500	-2988.4004285072574	-3046.5166173990383	58.116188891780766	0.06048045407135071	0.029994261052352693	0.030999828096937326	0.08242222762026481	0.04588156472359625	0.015983108325708303	0.050981772939718714	0.09765505856651889	0.012240158986445551	0.013471659476482694	0.09566684287307733	0.09823814617351155	0.07964482755791148	0.1137202249220749	0.06591578742577434	0.10670407718827452	0.15892217360372524	0.110529673417397	0.02295151178789246	0.19949971658301524	0.2928977623012462	0.2151991623067238	0.12844574119273558	0.15920788269423033	0.045105347782737885	0.1096678527390035	-3046.5166173990383
3000	-2983.32674445797	-3043.258028180942	59.931283722971834	0.09391780897001614	0.02079138854665953	0.048443142186865545	0.0805486552666583	0.023700437328559483	0.023008437175779294	0.07239197626934493	0.08146749095570886	0.02633856457392022	0.031105716120891205	0.07036549888139132	0.10641730284716322	0.054909828660699614	0.0897234085246695	0.10546474198311828	0.07140560170855462	0.13969096651022178	0.208097340243945	0.016252554860997033	0.08592032468684832	0.27692905931263456	0.27310975438535323	0.15162838438636586	0.15043226746127772	0.04184411806890697	0.11476925995047205	-3043.258028180942
4500	-2983.9309492723005	-3045.3633083454356	61.43235907313491	0.05411208847060702	0.050555493477089514	0.03503680679652655	0.08970803591722729	0.03284744111065424	0.03031426562854913	0.08032598111554873	0.08313800295569757	0.02693709696566704	0.024947412780997227	0.07438273302000707	0.08674518199937514	0.06912571803782071	0.09873539983360946	0.08822877287353258	0.07485956901709079	0.09162308672466556	0.13163842556376346	0.03735178322108375	0.12157535356956511	0.23722242425728882	0.38058892666363325	0.14711641128921868	0.1700865495102687	0.039950616928849665	0.09004297098446322	-3045.3633083454356
6000	-2989.015988974922	-3047.4755332281525	58.459544253230234	0.03587477803554832	0.030779790036321843	0.037499242390349345	0.08901830047039727	0.03581169459414891	0.025950515373230176	0.07865727961247987	0.05990127026476901	0.036914439672537956	0.03126363542833896	0.08380521818856634	0.08585485322417732	0.09164621411018667	0.09844694298412457	0.10362184346058548	0.07495398215423799	0.14436368727132987	0.19186466230597227	0.015419736633085743	0.12390926994618236	0.2670039884925578	0.25743865535087196	0.12159079048101143	0.1651361818362797	0.05105719187041463	0.12582992165407514	-3047.4755332281525
7500	-2981.327771346402	-3044.461796450472	63.13402510406971	0.06829443469964566	0.042572141719947665	0.04718853982162735	0.08016266771656719	0.034769254655955636	0.025629943251218604	0.05485615509780377	0.10212925516869134	0.01250164142210796	0.028318834589085233	0.06792892869902736	0.10391097252896264	0.07017945495280674	0.09999710727386704	0.06950522125233076	0.09205544715035507	0.09845323776448295	0.0815118334536119	0.008828981570822046	0.1577805486968616	0.3054797943235421	0.3479456041906793	0.08667324578012282	0.15905055592390657	0.05469737616972757	0.09724839143226095	-3044.461796450472
9000	-2983.4005389654394	-3036.350076644475	52.9495376790357	0.06015502938445365	0.050108553975622555	0.03754196933719271	0.06514165144417443	0.03612456420275242	0.027377552074158408	0.07689468034639266	0.08676588678237591	0.024915579578608862	0.03072863713383163	0.0656797886171403	0.08054433565493485	0.08665541215914532	0.11128137715095729	0.08962631069024032	0.07045867146801871	0.1144947561224007	0.13991154608073492	0.0259983392085216	0.1550310127831126	0.24305207835818912	0.321512267447041	0.14835085368133222	0.15777248259306015	0.04501384680839025	0.13376028672917956	-3036.350076644475
10500	-2984.651633112444	-3043.936738541011	59.285105428566936	0.04472033459764631	0.03586244355345317	0.03761172208647333	0.10036074790657426	0.03293695905803442	0.036209455936760344	0.06813652404753166	0.07091464314708584	0.04075430270211989	0.03567545713178241	0.07431377937624101	0.08967263242811427	0.07075376832707977	0.08461294353121518	0.07088464246673266	0.10657964370315548	0.12378330481200123	0.21012747042668745	0.004674234760834117	0.04424171035507038	0.3285755409087889	0.288597738736618	0.16482205938787844	0.15676920165177236	0.035977888727909836	0.12422497631630776	-3043.936738541011
12000	-2982.172346041035	-3040.7933962369834	58.62105019594876	0.05995534505463609	0.04875777444875938	0.04836399606835047	0.05455782310676017	0.0377278937880641	0.02835662675959178	0.082924592028737	0.0915005385607362	0.019825865887351433	0.02179798674603734	0.056041202774338474	0.09944694349262553	0.09577625787646704	0.07908147882414523	0.09242460318847173	0.08346107139492802	0.15992727193199782	0.1267852326450928	0.022966361508530764	0.12776034253706284	0.3002355689683019	0.2623252224090138	0.12263434558262475	0.1600153987451314	0.05107542408855399	0.1681832248108898	-3040.7933962369834
13500	-2987.732621094983	-3044.195644553609	56.463023458625514	0.12154530522879922	0.055322565816182556	0.03779916994073559	0.0900932463432472	0.032125788449504054	0.01616216403087916	0.06276638064555855	0.08700096133309432	0.01960898020788069	0.013913733072120127	0.04130164258964922	0.0881252565940101	0.07706684006428721	0.07483745370064562	0.09582278203722686	0.0865077299461795	0.225470766942345	0.11471150906287017	0.004186249419411127	0.10143636729141176	0.30516930707548984	0.2490258002084719	0.15402421199550723	0.16078674748579083	0.03686272212993105	0.13162791913388006	-3044.195644553609
