Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	delta	epsilon	psi.height	E.treeLikelihood
0	-2968.340127018745	-3043.8045533649642	75.46442634621904	0.16532291435360175	0.09862975106137037	0.0336921414700102	0.04198213405085682	0.028245388128197796	0.13976587192666412	0.08161821090853402	0.04766322487270182	0.04911360986718584	0.05397978847373498	0.037486876909903794	0.03687538474345864	0.04972588350854012	0.018243215264795828	0.03760452028064296	0.08005108417980095	0.07924566722201208	0.3233642291635128	0.14559065378705122	0.15592325802260698	0.2224434997734438	0.07343269203137315	0.04671247695965007	0.19781697880699914	0.08763598529829918	0.04626385179046374	-3043.8045533649642
1500	-2966.963156863489	-3044.96432815557	78.00117129208101	0.1676750440374545	0.03908531411803592	0.03564249955562648	0.04017236506112931	0.11746852803257674	0.08187184899553013	0.12966729347714412	0.03060441793866201	0.011579757349157414	0.03675668665092405	0.022780783039956003	0.038010066283523464	0.07260750790797021	0.03424051499312486	0.0778243791620408	0.06401299339714399	0.13859247683612408	0.23305568110002853	0.056401905819913084	0.186800767154695	0.3108556761563043	0.07429349293293515	0.021818224100218647	0.20458209454421836	0.09079466013242483	0.037744891775387326	-3044.96432815557
3000	-2958.7537057313816	-3045.1315980232216	86.37789229183996	0.18335234452903448	0.062301168318624624	0.04775430072009277	0.07055160870571292	0.03797444306251558	0.10023343164600942	0.10324998274305186	0.05248116635226247	0.012650863986839449	0.06633923233140346	0.0334135670968535	0.06301230915752765	0.030612059700087513	0.05507246514211155	0.01693872511178992	0.06406233139608286	0.046492476506503545	0.35990449889267045	0.039010992844944394	0.27779868362057936	0.2468857812482783	0.0299075668870242	0.022265711401113688	0.21949224318727972	0.08963672672789075	0.04970971648685255	-3045.1315980232216
4500	-2966.650355621834	-3043.3373531854745	76.68699756364047	0.1584247124629257	0.024912013463252697	0.018963998339390345	0.1326315414695933	0.06498415677871963	0.09776337564503348	0.09320631698031605	0.07397694452180453	0.020197024757302354	0.07505900865502238	0.031217031704942666	0.07152011901772734	0.011984313892216346	0.026179180184635685	0.018174910420446687	0.0808053517066709	0.07098376278555998	0.49307740025115526	0.042449919177233314	0.18962399313231912	0.14335461055070953	0.060510314103022995	0.02884992951896111	0.19030495232604974	0.1038410927393192	0.062311757007218325	-3043.3373531854745
6000	-2964.4102599418975	-3043.2598394316633	78.84957948976576	0.1651310058709123	0.03893953568456305	0.01808391443890111	0.07659624660963273	0.0686548168260277	0.10504026421683911	0.09349139470741533	0.025007576152297623	0.02034494742736615	0.05031890857520294	0.027153577651950672	0.05740399810104643	0.045366956244595406	0.05428783789222853	0.08592687558351558	0.0682521440175054	0.22209586844741738	0.41089784709810656	0.010132210418098309	0.10641371034399189	0.11254787573496483	0.13791248795742117	0.017432154482777	0.21171942246756292	0.09524992442937594	0.04130989972135945	-3043.2598394316633
7500	-2966.2825649285187	-3041.864816827846	75.58225189932716	0.17261482314409307	0.05451527569840509	0.015151346014166622	0.045921591362884706	0.08631846375681518	0.10290558894195559	0.1484766960041503	0.03289148526667125	0.013592371298283973	0.04140720429879836	0.037468116828878274	0.048102101267774554	0.05671458780203135	0.04149043821791566	0.043286201657870275	0.05914370843930575	0.029370278315477616	0.3628536417285131	0.07339853855113304	0.19407549700851598	0.23041716431399345	0.10988488008236708	0.05528177516066413	0.2111806138019519	0.10088713979314393	0.03777973753812306	-3041.864816827846
9000	-2957.60632031885	-3043.754320803121	86.14800048427111	0.15874039528156564	0.04853305083026088	0.046889899609594256	0.031955685145407524	0.04936711745299878	0.12074368134915298	0.1319247560696057	0.04187016198974543	0.027471442705049157	0.08585977874483032	0.02615936523414203	0.02447214352831025	0.0665350420232006	0.027802169114823458	0.0589218173010402	0.052753493620272866	0.1202578409794352	0.43992633056752173	0.06539249093039633	0.19580736795334303	0.10962439685707574	0.06899157271222822	0.022427334213886197	0.20362383381505875	0.09229562913489486	0.040747119236059955	-3043.754320803121
10500	-2968.0450333513577	-3047.5585689169925	79.51353556563463	0.14817268076099321	0.0754963616072615	0.0517615706314885	0.06424048741514743	0.02127262822381329	0.08814017313364038	0.06347539028298724	0.027090855883574787	0.021847566581695656	0.10913891783720356	0.02191712150226497	0.024036979134311146	0.0726459514479427	0.054044404497148854	0.08776802483429053	0.06895088622623621	0.2113554240730351	0.3686978792550789	0.01883128443128751	0.0452773365216251	0.11422235423460313	0.24161572148437063	0.02825817781018544	0.21316342236287114	0.08775577407919004	0.03132421993215424	-3047.5585689169925
12000	-2966.575457019555	-3043.696132638355	77.12067561879968	0.14620649119507134	0.07111575506648593	0.029710432169891235	0.06706604000230226	0.043255378464435196	0.10878039040169935	0.07570095649521588	0.06072227143147634	0.023301921196070344	0.08538342983494426	0.026481273645174046	0.09149855925898623	0.01856910259159316	0.023265150856165276	0.051895525477251556	0.0770473219132376	0.04394960861659808	0.40373860385704197	0.04321197368728426	0.2881020803922979	0.1349249537728553	0.08607277967392299	0.0291801467400018	0.19153314202934202	0.09763790623816287	0.06238619094133091	-3043.696132638355
13500	-2968.644255029374	-3040.159452440943	71.51519741156861	0.13410301526440677	0.06384401886691345	0.03031040429788593	0.03714230134416615	0.07254040350311305	0.11174468359417208	0.11585525625429717	0.03322010580546493	0.023535769818643325	0.027562913398882186	0.02154774631669603	0.039276319918924045	0.0846379512198711	0.03823518025855111	0.07277285778604316	0.09367107235196948	0.052408942939775265	0.36708268080880985	0.010612085253211181	0.18669820158335187	0.3224680049872695	0.06073008442758274	0.05612064822055296	0.19845373597825097	0.08388088768364144	0.05778502323977074	-3040.159452440943
