Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	delta	epsilon	psi.height	E.treeLikelihood
0	-4225.93021731988	-4261.133675306036	35.20345798615559	0.06510286791185721	0.14897737791371019	0.0295022167867759	0.041598791946433095	0.09400351868157653	0.038034102592196695	0.018604389357432402	0.03020068948883222	0.04453190494734433	0.07511180498198888	0.11407408817368407	0.04190854384221557	0.03417731876920726	0.10683010127482437	0.04082319339252909	0.07651908993939213	0.071827752753733	0.15098957345410513	0.17170860998003756	0.0018541998579532954	0.395586514797456	0.20803334915671493	0.570618865185666	0.18451656276720674	0.12737125754308443	0.7889534885871382	-4261.133675306036
1500	-4217.703370921513	-4260.541806212399	42.83843529088586	0.058271496178133236	0.14599508053192167	0.038355433822262586	0.05535571064058747	0.09637939425601685	0.0224697822376506	0.04410459257677573	0.028496970624448392	0.028995447157725333	0.06044154525417957	0.09152084909779147	0.0592608178274029	0.0441464613638291	0.09738313757307779	0.03622306204380296	0.09260021881439426	0.0998620556708345	0.2206068712326252	0.08708829775043461	0.0018541998579532954	0.3943728985423365	0.19621567694581588	0.33988323380694596	0.17111383199025537	0.15806566842302888	0.7127085393291438	-4260.541806212399
3000	-4229.309377079408	-4264.052227350469	34.74285027106149	0.05635309045720259	0.14147950456698172	0.06554718029836917	0.07014098828287939	0.07325903151066826	0.03749480168161789	0.012929380210352288	0.0620990485780575	0.01026622555164082	0.07625558693027855	0.09254136159130716	0.07044775419455804	0.05889873835128947	0.06859554423406905	0.010638263624717266	0.09305349993601077	0.03669913912243089	0.19817868953122258	0.15392558972056708	0.003437084432632384	0.4483572831512943	0.15940221404185276	0.28213704555914926	0.18058297564970685	0.1254973095226941	0.5784193238591664	-4264.052227350469
4500	-4225.870388165685	-4267.0829563443185	41.21256817863368	0.05864080550855211	0.1392183062506411	0.07234496833821841	0.08842577639742683	0.07925570339644114	0.02908040856631547	0.038390111707346235	0.06800120532911128	0.007103652948409221	0.05065784706014594	0.0998104627062816	0.07119500241286023	0.05632948962012535	0.04837827032502075	0.030055952466655947	0.06311203696644838	0.1440410947690766	0.2037955091305015	0.2242824558378653	0.003437084432632384	0.2852107383448171	0.1392331174851071	0.33908932688939014	0.18242299670731194	0.15328625950803718	0.5974727261786311	-4267.0829563443185
6000	-4221.81044098777	-4257.820034133906	36.009593146136815	0.06198661835116038	0.17808819816725283	0.023261708012384218	0.09666142608132125	0.06182488379640211	0.04065964881228397	0.048453070744984096	0.038324597788407244	0.03589096129399848	0.0480208035036186	0.10398383606097088	0.019346025674653405	0.022680240279501787	0.09382964569552625	0.048504822365092216	0.07848351337244233	0.060589188011932235	0.19170920206546932	0.17309179557406212	6.120635214200447E-4	0.3116101691175531	0.2623875817095631	0.32394920693880375	0.18236906449177517	0.12570853073038965	0.6092249115414127	-4257.820034133906
7500	-4220.035851271004	-4256.235236160707	36.19938488970343	0.05323443298850692	0.18570640120258275	0.02257140255530759	0.072452240070325	0.05906854225378162	0.047139152374070556	0.08086182761754733	0.07622995456617183	0.034649591321941994	0.0056185913175789345	0.08288367853107312	0.034290389059111984	0.02769319191819622	0.06187780543621273	0.045157110374299855	0.11056568841329162	0.10653809555570531	0.3644694782183555	0.13914267409641765	0.011525373987679697	0.23210374899409936	0.14622062914774242	0.5526492676283653	0.1681280990343965	0.1641953133916755	0.6331907480914946	-4256.235236160707
9000	-4222.730394713886	-4263.620596098217	40.89020138433076	0.06054116460321354	0.1539494171683674	0.031636166277718196	0.09684848537530498	0.06154662995865207	0.01989444706463095	0.027738282068687344	0.049809664443726226	0.03785841331642007	0.04043698683461484	0.09290244433423663	0.059324944017293206	0.03405499570796958	0.091962617734134	0.033503673446894734	0.10799166764813625	0.04462383772473197	0.1916883363260924	0.1441471789601252	0.016700897856419924	0.34793229405808734	0.25490745507454315	0.369865309477552	0.18395881631068167	0.14597229599044126	0.6862334402357998	-4263.620596098217
10500	-4226.462709622614	-4267.385336277825	40.92262665521149	0.07094993953495114	0.16806365582958302	0.03773472045037833	0.09425656464873114	0.09179268344844	0.04304936152345754	0.059535078005985474	0.09058141275456885	0.012781790033966671	0.021457258796287265	0.06746022183657369	0.06052620586591945	0.010224101945703015	0.056290177813417594	0.039870706371757714	0.07542612114027912	0.04720001890021183	0.2436865374604674	0.23265103088120434	5.660272916131644E-4	0.323408716063171	0.15248766940333225	0.3118318983343151	0.1745606807784198	0.15615875632944537	0.6135488300334638	-4267.385336277825
12000	-4227.824523981629	-4264.036882605476	36.212358623848004	0.06560738082519182	0.15806721155637182	0.043412380808978565	0.061105903667361995	0.05973857812222534	0.04880846217308629	0.07312399606377064	0.08143681304864141	0.04561106364031354	0.03729311755933477	0.08348956399902	0.03921102746895186	0.028293430135532323	0.0576858671104244	0.026190961996176536	0.09092424182461867	0.12282187552600107	0.12323072388384522	0.13956740020114727	5.660272916131644E-4	0.4145734106455988	0.1992405624517944	0.4680704868245103	0.17721780896490671	0.14682587908255473	0.6688533034345047	-4264.036882605476
13500	-4222.951033468288	-4260.6458866815	37.694853213211715	0.07406735293287571	0.11574147771599949	0.05555367055078674	0.0687328651892518	0.09829928594867438	0.033487816460802934	0.10524872259382004	0.0901707091675307	0.02420564539758535	0.012281616655745634	0.06463060890773689	0.03642595784975192	0.040664478295957145	0.037196247686463665	0.028845283383424104	0.11444826126359345	0.07464049031569431	0.2242551190516855	0.1407180585024855	0.016068335753655256	0.3539583718841882	0.19035962449229107	0.30234539112042325	0.1615376811057574	0.1391030676739951	0.710365862283602	-4260.6458866815
15000	-4214.590588082504	-4254.008269990762	39.41768190825794	0.06925776794928314	0.12276476181222462	0.037826673447051894	0.07646545802232624	0.0987266823258723	0.019342992105329068	0.03956143156224011	0.086225078274525	0.0495757610399512	0.05140581252580047	0.10786773654307887	0.05333619464865897	0.03406788484683335	0.0351176488374449	0.036262392716949796	0.08219572334243001	0.04191722398353955	0.17071685573237416	0.2206383439644547	0.004923875690515592	0.33105856475382633	0.2307451358752895	0.369015286333312	0.18081317208723938	0.1444554522632544	0.6553517051675904	-4254.008269990762
16500	-4217.207691866597	-4254.595908460675	37.38821659407729	0.05371499002904321	0.1596286704097914	0.05535680436719569	0.0674992744539714	0.07025801488744517	0.032137786991496095	0.021396434486311636	0.08327238911148763	0.012543312427483369	0.05406453268867276	0.11300540127983275	0.035808222571242616	0.04683146358144835	0.04964194013473165	0.05650467638752753	0.08833608619231868	0.09044950239822888	0.23686602072559193	0.18267027562999258	0.008923332767281078	0.28453408965498606	0.1965567788239193	0.3874203490609697	0.1721946526086307	0.14541979739275954	0.634221629246924	-4254.595908460675
