Sample	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	delta	epsilon	psi.height	E.treeLikelihood
0	-3916.66743475057	-4012.46254212097	95.79510737039995	0.01946583250665983	0.12920228555229196	0.07687008422048845	0.08756216163922374	0.051371511637286565	0.04072502635605197	0.05680079422667779	0.08640121162041277	0.061828895688334315	0.03960054100630003	0.05149106979056787	0.07972219109837435	0.027914069460398407	0.022279261729205035	0.047469174879281734	0.12129588858844505	0.11737268256232837	0.43558731534089334	0.006640008750187207	0.10697987397343338	0.2549447283479668	0.07847539102519088	0.011590963357675132	0.46642810743751195	0.11975918081445537	0.006991826293840192	-4012.46254212097
1500	-3923.484910385606	-4010.1424456520926	86.65753526648692	0.012031623350520774	0.09625927797270467	0.06889902648390653	0.07275970585021474	0.07731566544190194	0.030941929052961906	0.04476757976190266	0.04311912234861339	0.045275215073333666	0.026351916505849116	0.0401717196666071	0.1116395404520438	0.04895622162667128	0.0757335130196746	0.03534595522430597	0.17043198816878768	0.31457673252813223	0.12035943959855722	0.03392354262293835	0.09986712169293938	0.2513427407637912	0.17993042279364144	0.017951713391770752	0.47544290600130173	0.11045314069560459	0.012992127563158817	-4010.1424456520926
3000	-3933.292101716107	-4022.831282320543	89.53918060443601	0.014500685483468102	0.11827835317593716	0.08007126263438705	0.0395021695688837	0.0738817220397289	0.06451554263128619	0.05359137673097774	0.06242588258926836	0.0339589044497488	0.06873968154064655	0.029381995432339596	0.10553195566176025	0.05307620789696795	0.0676163471420002	0.031338475306646386	0.10358943771595289	0.030576598329698404	0.12867472509260658	0.08548920108192355	0.04984801434534722	0.3196681203133373	0.3857433408370868	0.011227674637371223	0.47771800847771484	0.10607042274208872	0.016251775806694558	-4022.831282320543
4500	-3948.1839071012787	-4022.0467362424347	73.86282914115615	0.028565272595177073	0.04483495939894179	0.06333965498500213	0.10292958185642066	0.13582585074751385	0.044362193323367334	0.019709465076175395	0.011444640356632119	0.07168658643870932	0.05985653904347546	0.04953205379501596	0.0813992724292403	0.025647206736405033	0.09110206133432028	0.06588730302573974	0.10387735885786337	0.398063623511501	0.3797830205195196	0.010917867687172317	0.015608840349493003	0.0639372753552592	0.13168937257705488	0.02868681594260069	0.45774373122625184	0.1165835199695804	0.04332248706030728	-4022.0467362424347
6000	-3933.9317709272204	-4013.326364816612	79.39459388939157	0.035526205141345205	0.01705918166497674	0.02962818430783795	0.07647128492163238	0.16298697866858972	0.044042371962470496	0.02884974458648174	0.0593941047655172	0.09714131435424742	0.052212150963807165	0.03759102214516609	0.04791132210939411	0.052507268596958534	0.0317071110489037	0.08072128566250271	0.1462504691001687	0.2950439693833778	0.26130955780736037	0.012140898746710163	0.1611677948959046	0.041398882955438594	0.22893889621120853	0.02425890573008356	0.4768734619139786	0.09613940746081968	0.019245066088273408	-4013.326364816612
7500	-3931.6950486083674	-4017.300028260464	85.60497965209669	0.01801469307466285	0.14337027443542105	0.02777435872877372	0.12504994465443744	0.07452356162319625	0.02804850951359804	0.052451451327606854	0.026720334326201065	0.07976539901465458	0.09226218944724804	0.04053546289802987	0.04232625660041139	0.0300109680809999	0.05806830907149197	0.07501899400570188	0.086059293197565	0.13519730504040817	0.3185765369986375	0.3694925010329566	0.02503053233588713	0.14535417958767316	0.006348945004437265	0.0240250883233247	0.4513532371709883	0.11571375282344493	0.02168878174556266	-4017.300028260464
9000	-3928.3020146137	-4022.4005331286407	94.09851851494082	0.019674985631601187	0.10680158627634465	0.06263777189315707	0.042051732055177996	0.07834020656424528	0.04901833315162004	0.03603032659970676	0.07434444407155298	0.07654618797304766	0.07953397414790864	0.06412641645144045	0.008582370042112382	0.08096705586118723	0.03457770197461858	0.11280739691334939	0.07395951039292963	0.09962479503182073	0.3705087803826786	0.0762016520677302	0.05220604425032306	0.24809657473413269	0.15336215353331464	0.009530836992450756	0.45716666398050676	0.11454005232720982	0.014330832788642698	-4022.4005331286407
10500	-3933.748596025382	-4015.0038730012257	81.25527697584359	0.008764154055948034	0.11464199639446929	0.013722612010293199	0.09774655207141977	0.06177343146008156	0.024436318813658	0.02327212640741745	0.03940141654765097	0.10688678515708659	0.08710459165887888	0.04224843682830219	0.07965349468570579	0.05589102140918084	0.04838854096708796	0.07508839333534831	0.12098012819747109	0.4486754446475403	0.16890469243677236	0.07026038605339911	0.22261872619480388	0.07265479445935717	0.01688595620812726	0.012385289544064574	0.4568633847381683	0.10575458693270412	0.029891944308706262	-4015.0038730012257
12000	-3924.5143257047334	-4020.3556843399424	95.84135863520882	0.005531956657903805	0.13172667811867286	0.053471617761021766	0.08503547729421239	0.0484444563708085	0.03539816799422558	0.019271681638254844	0.07503583449908138	0.04775806993565273	0.1017644730741454	0.06422108413697217	0.05297972242704137	0.032604378909296954	0.02288942097078655	0.11672771615745592	0.10713926405446773	0.13761327689664113	0.040176915999846415	0.2154346245793217	0.1575367312240125	0.19934683409966356	0.2498916172005148	0.007402721738090348	0.4788310611409814	0.10993983465055353	0.015474453194977724	-4020.3556843399424
13500	-3914.8512901744425	-4013.211429456974	98.36013928253163	0.0076159011494272635	0.1593785806549724	0.07506517748130537	0.05880949753393872	0.05233259064251099	0.04894073855803706	0.029733986883755573	0.02344874052262485	0.032466032133428246	0.043328245340553774	0.04678488589991371	0.05729771671570249	0.08045755310121831	0.06229401926010496	0.08098270511358172	0.1410636290089245	0.07997573470841399	0.43658003208313023	0.055616492596028556	0.05752872214184403	0.26822520147642737	0.10207381699415584	0.007082243718960836	0.46256452780031154	0.10698999431900834	0.013364541295555539	-4013.211429456974
