trace	posterior	likelihood	prior	pi.0	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.a	pi.b	pi.c	pi.d	pi.e	pi.f	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	Theta	treeheight	treelength	E.treeLikelihood
mean	-4550.25083185531	-4539.68818873533	-10.5626431199822	0.201691458030368	0.0111249984755551	0.0137601700147775	0.0157135323207792	0.0343447451504496	0.184385958962449	0.0236631058466411	0.020641748582908	0.0188263224524538	0.0206385049799329	0.194462853975345	0.0172974397531589	0.0254975642501698	0.0195908297320591	0.0112738953716338	0.187086872101319	0.170271642635122	0.172992291901199	0.159277255671021	0.179609921037136	0.166971649428626	0.150877239326896	1.91566072155908	0.312453991363193	4.43213444065429	-4539.68818873533
stderr.of.mean	0.165496958284537	0.166391863397588	0.0332017420713918	0.000478645678270628	9.48870225946742e-05	0.000101112162252366	0.000113801157820039	0.000162550780693398	0.000433896600158425	0.000128020281766486	0.000120282385269425	0.00010747356806008	0.000138573500042796	0.000563862517794844	0.000123822269300575	0.000133801244735216	0.000118623901899382	9.19330385112733e-05	0.000446122006694495	0.000384099494280817	0.000418891942897132	0.000431419985405237	0.000514854190648641	0.000400546397492825	0.000414099166297914	0.0128068816779838	0.000607473793318558	0.0075559745856019	0.166391863397588
stdev	5.0589676822074	5.07586082380173	1.10561598487768	0.0115228852403002	0.00259795045369785	0.00311028285822937	0.00329659204763845	0.00429563284157902	0.0101882952258284	0.00383798686813413	0.00358163906919847	0.00316306708482295	0.00399237972324466	0.0123647870908439	0.00359614050091963	0.00384905761931216	0.00375285372721515	0.00286483316248412	0.0113213250865538	0.0111291363619294	0.0131422670055954	0.0112878093444569	0.013208691946734	0.0116773782871952	0.0126430280242613	0.470554750512879	0.0175291383809214	0.205194036577519	5.07586082380173
variance	25.593154009619	25.7643631026052	1.22238670601705	0.000132776884261128	6.74934655986888e-06	9.67385945819543e-06	1.0867519128553e-05	1.84524615096523e-05	0.000103801359608638	1.47301431999701e-05	1.28281384220089e-05	1.00049933830904e-05	1.59390958545751e-05	0.0001528879598019	1.29322265023545e-05	1.4815244556785e-05	1.40839110978727e-05	8.20726904886879e-06	0.000128172401715433	0.000123857676162418	0.000172719182046362	0.000127414639796809	0.000174469542943717	0.000136361163662259	0.000159846157622257	0.221421773230238	0.000307270692377493	0.0421045926469761	25.7643631026052
median	-4549.97025744258	-4539.45743528043	-10.4377417870342	0.201517915321854	0.0108803067431809	0.0134247982989444	0.0155078891168353	0.034019284309624	0.184194978018111	0.0236156903259637	0.020359201308867	0.018773034189148	0.0202868882365425	0.193916207990319	0.0170843955844949	0.0252133280875749	0.0193496309277377	0.0108685420520419	0.186665986423823	0.169710616279483	0.172928119380951	0.15912122245389	0.179263022464941	0.166389380819695	0.150935875289063	1.83799936761297	0.310994573181567	4.4305391578867	-4539.45743528043
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.201363323046398	0.0108263407343189	0.0134137486246953	0.0153683677498565	0.034078899043937	0.184105466733546	0.0233511663977218	0.0203351112120284	0.0185604188407977	0.0202547333299782	0.194069465386267	0.0169209474820783	0.0252086450682051	0.0192300986447232	0.0109134721032972	0.186746134741432	0.16990734118669	0.172492494235301	0.158878543331979	0.17912620541181	0.166565295834043	0.150348588529397	1.86212866075314	0.311968291855636	4.42738876688323	NaN
HPD95.lower	-4561.5074914279	-4550.1176421375	-12.9382006348649	0.179962930186668	0.00650313847609481	0.00807875927728558	0.0100216709306793	0.0263509158565166	0.165186691074295	0.0168233185726223	0.0140300640992109	0.012351198167728	0.0127050785072417	0.170794707382358	0.010915323684323	0.018050221609641	0.0125192257853002	0.00607888757423909	0.165903082335375	0.149594033082271	0.149960293244045	0.137214379570091	0.155952697146107	0.143528973857071	0.126791155676151	1.12581264182446	0.282430066819006	4.01865711101085	-4550.1176421375
HPD95.upper	-4541.74261649441	-4530.77385896449	-8.58644432333191	0.223189577143099	0.016325238266989	0.020046858234678	0.0223493804398569	0.043186455529161	0.204294786869111	0.0315134537823285	0.027565809017331	0.0245320121169687	0.0282745874669249	0.219006065402222	0.0250024591559084	0.0331705010935429	0.0266288204483247	0.016761306906752	0.209860717814726	0.192007060507081	0.200174158410896	0.181224993583906	0.20684599627981	0.189113056494577	0.17575446815521	2.86776519006914	0.34946842413652	4.80450376636711	-4530.77385896449
ACT	2889.48036804769	2901.40453458597	2434.87488777719	4658.74925756559	3601.76551898173	2853.45184438046	3217.55866332837	3866.22689004107	4897.03240884265	3004.0981263132	3045.11677669471	3117.09511832172	3252.82138289535	5614.83105221842	3201.01523819322	3262.6839632902	2697.64415325172	2780.40514839754	4192.5311461017	3216.08907775245	2743.00732527644	3944.07091165008	4102.15821522661	3176.71670841665	2896.47668466175	2000	3242.63063106899	3661.12901136268	2901.40453458597
ESS	935.116234004953	931.273101627511	1109.70794169497	579.983993689311	750.187647074785	946.923287078167	839.767128660506	698.872589955861	551.76273596249	899.43799649316	887.322292753862	866.832707195278	830.663501601473	481.225521279476	844.107196917036	828.152536501026	1001.61468544435	971.800818868889	644.47941013208	840.150858597574	985.050231219376	685.078960426086	658.677666300284	850.563726013435	932.857500392944	1351	833.274062765897	738.023705696814	931.273101627511
n.samples	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351	1351
chain.length	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06	3e+06
